NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,48352023|47102015|97812014,684422611,Rua Antônio Calixto S/N Centro,-,SP,3510153,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1830|1812.5|1822.5|778|2130,1735|1717.5|1727.5|723|1940,30,Greenfield,,056001603518,16.15|11.96,25,65|74,-7,60,007591301882|031191601350|008041101882,20|40,-23.008,-49.78119,2024-03-29,2004-03-23,2038-04-30|2031-03-11|2029-12-08,20240503,1,30.0,inf
TIM,50010613854,48352023|47102015|97812014,684422611,Rua Antônio Calixto S/N Centro,-,SP,3510153,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1830|1812.5|1822.5|778|2130,1735|1717.5|1727.5|723|1940,120,Greenfield,,056001603518,16.15|11.96,25,65|74,-7,60,007591301882|031191601350|008041101882,20|40,-23.008,-49.78119,2024-03-29,2004-03-23,2038-04-30|2031-03-11|2029-12-08,20240503,2,120.0,inf
TIM,50010613854,48352023|47102015|97812014,684422611,Rua Antônio Calixto S/N Centro,-,SP,3510153,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1830|1812.5|1822.5|778|2130,1735|1717.5|1727.5|723|1940,255,Greenfield,,056001603518,16.15|11.96,25,65|74,-7,60,007591301882|031191601350|008041101882,20|40,-23.008,-49.78119,2024-03-29,2004-03-23,2038-04-30|2031-03-11|2029-12-08,20240503,3,255.0,inf
