NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,97692014|46622011,1002461003,AV BOM JESUS,FAZENDA MONTE ALEGRE SN,SP,3503158,10M0G7W|5M00G7W,LTE|WCDMA,798|885,743|840,20,Greenfield,não,056001603518,13|14,23,67|62,-2,61,057731705894|039721705894,80,-22.67712,-44.44769,2022-08-29,2016-01-12,2029-12-08|2028-03-31,20240503,1,20.0,inf
CLARO,50409105090,97692014|46622011,1002461003,AV BOM JESUS,FAZENDA MONTE ALEGRE SN,SP,3503158,10M0G7W|5M00G7W,LTE|WCDMA,798|885,743|840,90,Greenfield,não,056001603518,13|14,23,67|62,-3,61,057731705894|039721705894,80,-22.67712,-44.44769,2022-08-29,2016-01-12,2029-12-08|2028-03-31,20240503,2,90.0,inf
CLARO,50409105090,97692014|46622011,1002461003,AV BOM JESUS,FAZENDA MONTE ALEGRE SN,SP,3503158,10M0G7W|5M00G7W,LTE|WCDMA,798|885,743|840,310,Greenfield,não,056001603518,13|14,23,67|62,-2,61,057731705894|039721705894,80,-22.67712,-44.44769,2022-08-29,2016-01-12,2029-12-08|2028-03-31,20240503,4,310.0,inf
