NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|29332016|59592012,686138406,"R GERALDO ABREU PINTO, 729, JARDIM BELA VISTA",,SP,3514700,200KG7W|10M0G7W|20M0G7W|5M00D7W|5M00G7W,GSM|LTE|WCDMA,955|1880|2630|2650|890|894,952.5|1870|2620|2630|880|891.5,10,Greenfield,não,027331703519|012720905344,14.1|16.16|17.05|13.52,23.0|27.0|28.0|20.0,66.56|66.76|65.49|68.0,2.0,60.0,037621705894|012111805894|056351705894|000081201882|039721705894,19.95|20.0|40.0|84.53|80.0,-22.42806,-50.20583,2019-04-15,2005-03-15,2028-03-31|2027-10-18,20240503,1,10.0,inf
CLARO,50409105090,46622011|29332016|59592012,686138406,"R GERALDO ABREU PINTO, 729, JARDIM BELA VISTA",,SP,3514700,200KG7W|10M0G7W|20M0G7W|5M00D7W|5M00G7W,GSM|LTE|WCDMA,955|1880|2630|2650|890|894,952.5|1870|2620|2630|880|891.5,120,Greenfield,não,027331703519|012720905344,14.1|16.16|17.05|13.52,23.0|27.0|28.0|20.0,66.56|66.76|65.49|68.0,2.0,60.0,037621705894|012111805894|056351705894|000081201882|039721705894,19.95|20.0|40.0|84.53|80.0,-22.42806,-50.20583,2019-04-15,2005-03-15,2028-03-31|2027-10-18,20240503,2,120.0,inf
CLARO,50409105090,46622011|29332016|59592012,686138406,"R GERALDO ABREU PINTO, 729, JARDIM BELA VISTA",,SP,3514700,200KG7W|10M0G7W|20M0G7W|5M00D7W|5M00G7W,GSM|LTE|WCDMA,1880|955|2630|2650|890|894,1870|952.5|2620|2630|880|891.5,200,Greenfield,não,027331703519|012720905344,16.16|14.1|17.05|13.52,27.0|23.0|28.0|20.0,66.76|66.56|65.49|68.0,2.0,60.0,012111805894|037621705894|056351705894|000081201882|039721705894,20.0|19.95|40.0|84.53|80.0,-22.42806,-50.20583,2019-04-15,2005-03-15,2028-03-31|2027-10-18,20240503,3,200.0,inf
