NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|29332016|59592012|16952008,700004505,"RUA HYPOLITO WISNESCK, LOTE 15 QUADRA A, JD NOVA ITOBI",,SP,3523800,200KG7W|10M0G7W|20M0G7W|5M00G7W|5M00D9W,GSM|LTE|WCDMA,1880|955|803|2630|2650|2125|890,1870|952.5|793|2620|2630|2110|880,60,Greenfield,não,027331703519|012720905344|009371303519,16.16|13.52|14.1|17.05|17.08|14.89,27.0|20.0|25.0|28.0|30.0,66.76|68.0|66.56|65.49|72.66|65.28,2.0|0.0,60.0|57.0,006091702519|037621705894|029361602519|056351705894|027191702519|039721705894|018151001882,79.4|19.9|40.0|60.0|80.0|60.7,-21.73722,-46.97222,2020-04-07,2004-09-14,2028-03-31|2029-12-08|2027-10-18|2023-04-30,20240503,1,60.0,inf
CLARO,50409105090,46622011|97692014|29332016|59592012|16952008,700004505,"RUA HYPOLITO WISNESCK, LOTE 15 QUADRA A, JD NOVA ITOBI",,SP,3523800,200KG7W|10M0G7W|20M0G7W|5M00G7W|5M00D9W,GSM|LTE|WCDMA,1880|955|803|2630|2650|2125|890,1870|952.5|793|2620|2630|2110|880,150,Greenfield,não,027331703519|012720905344|009371303519,16.16|13.52|14.1|17.05|17.08|14.89,27.0|20.0|25.0|28.0|30.0,66.76|68.0|66.56|65.49|72.66|65.28,2.0|4.0,60.0|57.0,006091702519|037621705894|029361602519|056351705894|027191702519|039721705894|018151001882,79.4|19.9|40.0|60.0|80.0|60.7,-21.73722,-46.97222,2020-04-07,2004-09-14,2028-03-31|2029-12-08|2027-10-18|2023-04-30,20240503,2,150.0,inf
CLARO,50409105090,46622011|97692014|29332016|59592012|16952008,700004505,"RUA HYPOLITO WISNESCK, LOTE 15 QUADRA A, JD NOVA ITOBI",,SP,3523800,200KG7W|10M0G7W|20M0G7W|5M00G7W|5M00D9W,GSM|LTE|WCDMA,1880|955|803|2630|2650|2125|890,1870|952.5|793|2620|2630|2110|880,280,Greenfield,não,027331703519|012720905344|009371303519,16.16|13.52|14.1|17.05|17.08|14.89,27.0|20.0|25.0|28.0|30.0,66.76|68.0|66.56|65.49|72.66|65.28,5.0|2.0,60.0|57.0,006091702519|037621705894|029361602519|056351705894|027191702519|039721705894|018151001882,79.4|19.9|40.0|60.0|80.0|60.7,-21.73722,-46.97222,2020-04-07,2004-09-14,2028-03-31|2029-12-08|2027-10-18|2023-04-30,20240503,4,280.0,inf
