NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|34672011|48372023,684831252,R ANTÔNIO REDONDO,CEDRO EMPREENDIMENTOS IMOBILIÁRIOS,SP,3543600,200KG7W|10M0G7W,GSM|LTE,1875|2140|2117.5,1780|1950|1927.5,0,Greenfield,,027331703519,16.16,27|26,66.76,0,51,040952002519,60,-20.08191,-47.4307,2023-06-21,2004-10-18,2028-03-31,20240503,1,0.0,inf
CLARO,50409105090,46622011|97692014|34672011|48372023,684831252,R ANTÔNIO REDONDO,CEDRO EMPREENDIMENTOS IMOBILIÁRIOS,SP,3543600,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,953.75|1875|798|2140|2117.5|885,908.75|1780|743|1950|1927.5|840,110,Greenfield,,012720905344|027331703519,13.52|16.16|14.1,20|27|25|26,68|66.76|66.56,2,51,037621705894|040952002519|057731705894|039721705894,19.95|60|80,-20.08191,-47.4307,2023-06-21,2004-10-18,2028-03-31,20240503,2,110.0,inf
CLARO,50409105090,46622011|97692014|34672011|48372023,684831252,R ANTÔNIO REDONDO,CEDRO EMPREENDIMENTOS IMOBILIÁRIOS,SP,3543600,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,953.75|1875|798|2140|2117.5|885,908.75|1780|743|1950|1927.5|840,340,Greenfield,,012720905344|027331703519,13.52|16.16|14.1,20|27|25|26,68|66.76|66.56,2,51,037621705894|040952002519|057731705894|039721705894,19.95|60|80,-20.08191,-47.4307,2023-06-21,2004-10-18,2028-03-31,20240503,4,340.0,inf
