NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014,683582950,RUA QUINTINO BOCAIUVA,,SP,3531506,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,1812.5|1830|1822.5|778|2130,1717.5|1735|1727.5|723|1940,30,Greenfield,sim,056001603518,16.15|11.96,25,65|74,-2,64,006091702519|057731705894|027191702519,20|40,-20.90778,-48.63944,2024-02-22,2003-09-09,2031-03-11|2038-04-30|2029-12-08,20240503,1,30.0,inf
TIM,50010613854,47102015|48352023|97812014,683582950,RUA QUINTINO BOCAIUVA,,SP,3531506,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,1812.5|1822.5|1830|778|2130,1717.5|1727.5|1735|723|1940,200,Greenfield,sim,056001603518,16.15|11.96,25,65|74,-1,64,006091702519|057731705894|027191702519,20|40,-20.90778,-48.63944,2024-02-22,2003-09-09,2031-03-11|2038-04-30|2029-12-08,20240503,3,200.0,inf
TIM,50010613854,47102015|48352023|97812014,683582950,RUA QUINTINO BOCAIUVA,,SP,3531506,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1822.5|1830|778|2130,1717.5|1727.5|1735|723|1940,330,Greenfield,sim,056001603518,16.15|11.96,25,65|74,-2,64,006091702519|057731705894|027191702519,20|40,-20.90778,-48.63944,2024-02-22,2003-09-09,2031-03-11|2038-04-30|2029-12-08,20240503,4,330.0,inf
