NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|48412023|59072012|97432014|166262022|48422023,410916587,RUA ALCIDES OLIVEIRO FRASSON,,SP,3521408,200KG7W|5M00G7W|20M0G7W|10M0G7W,GSM|WCDMA|LTE,890.75|874.5|2160|2680|788|1855|2150|1862.5|1867.5,845.75|829.5|1970|2560|733|1760|1960|1767.5|1772.5,90|120,Greenfield,não|sim,038801200762|026000900324|005152003257,17.8|19|15.8|17.5|14|17.2|17.3,25|28|24|21|26,65|60|67|59|66|69|68,0|2,30|29,000910502519|008041101882|000081201882|058221803257|048811903257|083071803257,14.5|40,-22.583703,-47.508723,2023-12-17,1999-12-13,2028-11-29|2038-04-30|2027-10-18|2029-12-08|2032-12-22,20240103,2,120.0,inf
VIVO,50409146447,155832022|48412023|59072012|97432014|166262022|48422023,410916587,RUA ALCIDES OLIVEIRO FRASSON,,SP,3521408,200KG7W|5M00G7W|20M0G7W|10M0G7W,GSM|WCDMA|LTE,874.5|890.75|2160|2680|788|1855|2150|1862.5|1867.5,829.5|845.75|1970|2560|733|1760|1960|1767.5|1772.5,220|235,Greenfield,não|sim,038801200762|026000900324|005152003257,17.8|19|15.8|17.5|14|17.2|17.3,25|28|24|21|26,65|60|67|59|66|69|68,0|2,30|29,000910502519|008041101882|000081201882|058221803257|048811903257|083071803257,14.5|40,-22.583703,-47.508723,2023-12-17,1999-12-13,2028-11-29|2038-04-30|2027-10-18|2029-12-08|2032-12-22,20240103,3,235.0,inf
VIVO,50409146447,155832022|48412023|59072012|97432014|166262022|48422023,410916587,RUA ALCIDES OLIVEIRO FRASSON,,SP,3521408,200KG7W|5M00G7W|20M0G7W|10M0G7W,GSM|WCDMA|LTE,890.75|874.5|2160|2680|788|1855|2150|1862.5|1867.5,845.75|829.5|1970|2560|733|1760|1960|1767.5|1772.5,310|340,Greenfield,não|sim,038801200762|026000900324|005152003257,17.8|19|15.8|17.5|14|17.2|17.3,25|28|24|21|26,65|60|67|59|66|69|68,0|2,30|29,000910502519|008041101882|000081201882|058221803257|048811903257|083071803257,14.5|40,-22.583703,-47.508723,2023-12-17,1999-12-13,2028-11-29|2038-04-30|2027-10-18|2029-12-08|2032-12-22,20240103,4,340.0,inf
