NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|48372023,1014118996,R SAO LOURENCO,TELESP,SP,3520426,200KG7W|10M0G7W|15M0G7W,GSM|LTE,1875|2117.5,1780|1927.5,10|50,,,056001603518,14.3|14.7,25,65|53,0,60,006091702519|027191702519,79.43|60,-24.74669,-47.55219,2023-10-17,2022-08-12,2028-03-31,20240503,1,30.0,1.173425
CLARO,50409105090,46622011|48372023,1014118996,R SAO LOURENCO,TELESP,SP,3520426,200KG7W|10M0G7W|15M0G7W,GSM|LTE,1875|2117.5,1780|1927.5,240,,,056001603518,14.3|14.7,25,65|53,0,60,006091702519|027191702519,79.43|60,-24.74669,-47.55219,2023-10-17,2022-08-12,2028-03-31,20240503,3,240.0,1.173425
CLARO,50409105090,46622011|97692014|105752021,683100360,AV 27 DE OUTUBRO,,SP,3520426,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|798|2325|885|892.75,1780|743|0|840|847.75,110,Greenfield,não,056001603518,14.3|13|16.2|14,25|23|28,65|67|79|62,0|-1,56|60,006091702519|057731705894|139102102519|039721705894|008881101882,79.43|80|50|72.44,-24.72586,-47.55643,2023-07-25,2002-12-26,2028-03-31,20240503,2,110.0,1.173425
CLARO,50409105090,46622011|97692014|105752021,683100360,AV 27 DE OUTUBRO,,SP,3520426,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|798|2325|885|892.75,1780|743|0|840|847.75,200,Greenfield,não,056001603518,14.3|13|16.2|14,25|23|28,65|67|79|62,0|-1,56|60,006091702519|057731705894|139102102519|039721705894|008881101882,79.43|80|50|72.44,-24.72586,-47.55643,2023-07-25,2002-12-26,2028-03-31,20240503,3,200.0,1.173425
CLARO,50409105090,46622011|97692014|105752021,683100360,AV 27 DE OUTUBRO,,SP,3520426,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|798|2325|885|892.75,1780|743|0|840|847.75,345,Greenfield,não,056001603518,14.3|13|16.2|14,25|23|28,65|67|79|62,0|-1,56|60,006091702519|057731705894|139102102519|039721705894|008881101882,79.43|80|50|72.44,-24.72586,-47.55643,2023-07-25,2002-12-26,2028-03-31,20240503,4,345.0,1.173425
