NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|105752021|48372023|34672011,442735120,AV ANTONIO JOAQUIM DE MOURA ANDRADE,AO LADO Nº 699,SP,3500600,200KG7W|10M0G7W|50M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|953.75|798|2325|885|2117.5|2140,1780|908.75|743|2325|840|1927.5|1950,80,Greenfield,não,012720905344,16.5|13.52|13.4|16.2|13.8|16.9,21|20|28|23|22,66|68|79|70|62,0|-2,48|48.5,006091702519|037621705894|029361602519|139102102519|039721705894|008041101882,79.43|19.95|40|50|80|61.52,-22.59722,-47.87061,2023-06-27,2000-08-16,2038-04-30,20240503,1,80.0,inf
CLARO,50409105090,46622011|97692014|105752021|48372023|34672011,442735120,AV ANTONIO JOAQUIM DE MOURA ANDRADE,AO LADO Nº 699,SP,3500600,200KG7W|10M0G7W|50M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2325|885|2117.5|2140,1780|743|2325|840|1927.5|1950,170,Greenfield,não,,16.5|13.4|16.2|13.8|16.9,21|28|23|22,66|68|79|70|62,0,48,006091702519|029361602519|139102102519|039721705894|008041101882,79.43|40|50|80|61.52,-22.59722,-47.87061,2023-06-27,2000-08-16,2038-04-30,20240503,2,170.0,inf
CLARO,50409105090,46622011|97692014|105752021|48372023|34672011,442735120,AV ANTONIO JOAQUIM DE MOURA ANDRADE,AO LADO Nº 699,SP,3500600,200KG7W|10M0G7W|50M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2325|885|2117.5|2140,1780|743|2325|840|1927.5|1950,240,Greenfield,não,,16.5|13.4|16.2|13.8|16.9,21|28|23|22,66|68|79|70|62,0,48,006091702519|029361602519|139102102519|039721705894|008041101882,79.43|40|50|80|61.52,-22.59722,-47.87061,2023-06-27,2000-08-16,2038-04-30,20240503,3,240.0,inf
