NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|29332016|59592012,690659300,"AV MARECHAL ARTHUR DA COSTA E SILVA, 769, CENTRO",,SP,3523008,200KG7W|10M0G7W|20M0G7W|5M00D7W,GSM|LTE|WCDMA,1880|2630|2650|890,1870|2620|2630|880,10,Greenfield,não,027331703519,16.16|17.05|14.1,27.0|28.0|25.0,66.76|65.49|66.56,2.0,60.0,012111805894|056351705894|039721705894,20.0|40.0|80.0,-20.64472,-51.50611,2019-04-15,2008-09-29,2028-03-31|2027-10-18,20240503,1,10.0,inf
CLARO,50409105090,46622011|29332016|59592012,690659300,"AV MARECHAL ARTHUR DA COSTA E SILVA, 769, CENTRO",,SP,3523008,200KG7W|10M0G7W|20M0G7W|5M00D7W,GSM|LTE|WCDMA,1880|2630|2650|890,1870|2620|2630|880,120,Greenfield,não,027331703519,16.16|17.05|14.1,27.0|28.0|25.0,66.76|65.49|66.56,2.0,60.0,012111805894|056351705894|039721705894,20.0|40.0|80.0,-20.64472,-51.50611,2019-04-15,2008-09-29,2028-03-31|2027-10-18,20240503,2,120.0,inf
CLARO,50409105090,46622011|29332016|59592012,690659300,"AV MARECHAL ARTHUR DA COSTA E SILVA, 769, CENTRO",,SP,3523008,200KG7W|10M0G7W|20M0G7W|5M00D7W,GSM|LTE|WCDMA,1880|2630|2650|890,1870|2620|2630|880,300,Greenfield,não,027331703519,16.16|17.05|14.1,27.0|28.0|25.0,66.76|65.49|66.56,2.0,60.0,012111805894|056351705894|039721705894,20.0|40.0|80.0,-20.64472,-51.50611,2019-04-15,2008-09-29,2028-03-31|2027-10-18,20240503,4,300.0,inf
