NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|48422023|48412023|97432014|59072012|166262022,399678689,AVENIDA ADRIANO GALVÃO DE CASTRO,,SP,3540754,200KG7W|10M0G7W|5M00G7W|20M0G7W,GSM|WCDMA|LTE,890.75|1867.5|874.5|1862.5|2160|788|2680|1855|2150,845.75|1772.5|829.5|1767.5|1970|733|2560|1760|1960,60|65,Greenfield,não|sim,038701403518|038961403518,17|15.1|15.8|16.7|16.2,28|25,63.3|69.29|70.85|67|60|66,2|1,37|40,000910502519|006030301882|008041101882|010641001882|048811903257|058221803257|083071803257,14.5|15.8|40,-22.836389,-45.255556,2023-11-22,1999-12-10,2028-11-29|2032-12-22|2038-04-30|2029-12-08|2027-10-18,20240103,1,65.0,inf
VIVO,50409146447,155832022|48422023|48412023|97432014|59072012|166262022,399678689,AVENIDA ADRIANO GALVÃO DE CASTRO,,SP,3540754,200KG7W|10M0G7W|5M00G7W|20M0G7W,GSM|WCDMA|LTE,874.5|1862.5|890.75|1867.5|2160|788|2680|1855|2150,829.5|1767.5|845.75|1772.5|1970|733|2560|1760|1960,180|205,Greenfield,não|sim,038701403518|038961403518,17|15.1|15.8|16.7|16.2,28|25,63.3|69.29|70.85|67|60|66,2|1,37|40,000910502519|006030301882|008041101882|010641001882|048811903257|058221803257|083071803257,14.5|35.5|40,-22.836389,-45.255556,2023-11-22,1999-12-10,2028-11-29|2032-12-22|2038-04-30|2029-12-08|2027-10-18,20240103,3,205.0,inf
VIVO,50409146447,48422023|155832022|97432014|59072012|166262022|48412023,399678689,AVENIDA ADRIANO GALVÃO DE CASTRO,,SP,3540754,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1862.5|874.5|1867.5|890.75|788|2680|1855|2150|2160,1767.5|829.5|1772.5|845.75|733|2560|1760|1960|1970,300|320,Greenfield,não|sim,038701403518|038961403518,17|15.8|16.7|16.2|15.1,28|25,63.3|67|60|66|69.29|70.85,2|1,37|40,006030301882|000910502519|048811903257|058221803257|083071803257|008041101882|010641001882,35.5|14.5|40,-22.836389,-45.255556,2023-11-22,1999-12-10,2032-12-22|2028-11-29|2029-12-08|2027-10-18|2038-04-30,20240103,4,320.0,inf
