NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|97432014|166262022|48412023|59072012|155832022,1010398919,AVENIDA DOS BEIJA FLORES,,SP,3547007,5M00G7W|10M0G7W|20M0G7W,LTE|WCDMA,1862.5|788|1867.5|1855|2150|2160|2680|874.5,1767.5|733|1772.5|1760|1960|1970|2560|829.5,100,Greenfield,sim,056001603518,16.5|14.4|17|17.5|14.8,28|25,65|74,2,49,083071803257|048811903257|058221803257|039721705894,40,-22.610694,-48.155467,2023-11-28,2020-05-04,2032-12-22|2029-12-08|2038-04-30|2027-10-18|2028-11-29,20240103,2,100.0,inf
VIVO,50409146447,48422023|97432014|166262022|48412023|59072012|155832022,1010398919,AVENIDA DOS BEIJA FLORES,,SP,3547007,5M00G7W|10M0G7W|20M0G7W,LTE|WCDMA,1862.5|788|1867.5|1855|2150|2160|2680|874.5,1767.5|733|1772.5|1760|1960|1970|2560|829.5,180,Greenfield,sim,056001603518,16.5|14.4|17|17.5|14.8,28|25,65|74,2,49,083071803257|048811903257|058221803257|039721705894,40,-22.610694,-48.155467,2023-11-28,2020-05-04,2032-12-22|2029-12-08|2038-04-30|2027-10-18|2028-11-29,20240103,3,180.0,inf
VIVO,50409146447,48422023|97432014|166262022|48412023|59072012|155832022,1010398919,AVENIDA DOS BEIJA FLORES,,SP,3547007,5M00G7W|10M0G7W|20M0G7W,LTE|WCDMA,1862.5|788|1867.5|1855|2150|2160|2680|874.5,1767.5|733|1772.5|1760|1960|1970|2560|829.5,300,Greenfield,sim,056001603518,16.5|14.4|17|17.5|14.8,28|25,65|74,2,49,083071803257|048811903257|058221803257|039721705894,40,-22.610694,-48.155467,2023-11-28,2020-05-04,2032-12-22|2029-12-08|2038-04-30|2027-10-18|2028-11-29,20240103,4,300.0,inf
