NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,97432014|41662008,687528704,"Avenida Evaristo Cavalieri, 332 - Centro",,SP,3549300,10M0G7W|200KG7W|5M00G7W,LTE|GSM|WCDMA,793|880|891.5,783|869|890,90|110|130,Greenfield,sim|não,005152003257|005200301293|026960904280|012720905344,14.0|16.0|18.3|15.50,21.0|26.0|25.0,66.0|68.00|65.00|68.0,2|.00|4.00,23|22.3|23.0|25.0|25,048811903257|000910502519|000081201882|044961602519,40|35.000|14.500|40.000,-21.26962|-21.26972|-21.26944,-51.66559|-51.66583|-51.66556,2020-12-10,2005-10-05,2029-12-08|2024-01-20,20240103,2,130.0,0.010085
VIVO,50409146447,41662008|97432014,687528704,"Avenida Evaristo Cavalieri, 332 - Centro",,SP,3549300,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,880|891.5|793,869|890|783,210,Greenfield,não|sim,026960904280|005152003257|012720905344,16.0|14.0|18.3|15.50,26.0|21.0|25.0,65.00|66.0|68.0,4.00|2,23.0|22.3|23|25.0|25,000910502519|048811903257|000081201882|044961602519,35.000|14.500|40|40.000,-21.26944|-21.26962,-51.66556|-51.66559,2020-12-10,2005-10-05,2024-01-20|2029-12-08,20240103,3,210.0,0.010085
VIVO,50409146447,41662008|97432014,687528704,"Avenida Evaristo Cavalieri, 332 - Centro",,SP,3549300,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,880|891.5|793,869|890|783,340,Greenfield,não|sim,026960904280|005152003257|012720905344,16.0|14.0|18.3|15.50,26.0|21.0|25.0,65.00|66.0|68.0,4.00|2,23.0|22.3|23|25.0|25,000910502519|048811903257|000081201882|044961602519,35.000|32.500|40|40.000,-21.26944|-21.26962,-51.66556|-51.66559,2020-12-10,2005-10-05,2024-01-20|2029-12-08,20240103,4,340.0,0.010085
