NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,41662008|97432014|48422023,800001257,Avenida José Cândido Carneiro,,SP,3540101,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|890.75|788|1867.5|1862.5,829.5|845.75|733|1772.5|1767.5,10,Greenfield,não|sim,000650501705|024731703257|012720905344,17.8|14.7|15.5,25|22,68|45,6|0,24|26|27,000910502519|048811903257|083071803257|000081201882,14.5|40,-21.734144,-49.357494,2023-09-20,2005-09-27,2024-01-20|2029-12-08|2032-12-22,20240103,1,10.0,inf
VIVO,50409146447,41662008|97432014|48422023,800001257,Avenida José Cândido Carneiro,,SP,3540101,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|890.75|788|1867.5|1862.5,829.5|845.75|733|1772.5|1767.5,150,Greenfield,não|sim,000650501705|024731703257|012720905344,17.8|14.7|15.5,25|22,68|45,5|0,24|26|27,000910502519|048811903257|083071803257|000081201882,14.5|40,-21.734144,-49.357494,2023-09-20,2005-09-27,2024-01-20|2029-12-08|2032-12-22,20240103,2,150.0,inf
VIVO,50409146447,41662008|48422023|97432014,800001257,Avenida José Cândido Carneiro,,SP,3540101,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,874.5|890.75|1867.5|788|1862.5,829.5|845.75|1772.5|733|1767.5,240,Greenfield,não|sim,000650501705|024731703257|012720905344,17.8|15.5|14.7,25|22,68|45,5|0,24|26|27,000910502519|083071803257|048811903257|000081201882,14.5|40,-21.734144,-49.357494,2023-09-20,2005-09-27,2024-01-20|2032-12-22|2029-12-08,20240103,3,240.0,inf
