NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|48372023|29332016|59592012|34672011,687276420,R JOSÉ FERRO,ESQUINA COM A RUA VISCONDE DE RIO BRANCO - CHÁCARA SÃO LUIZ,SP,3520608,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2117.5|2625|2640|2140|885,1780|743|1927.5|2505|2520|1950|840,160,Greenfield,,027331703519|009371303519|008541105344,16.16|14.1|17.08|16.85|14.89,27|25|30|33.74,66.76|66.56|72.66|67.81|65.28,0,50,012111805894|057731705894|027191702519|043341501882|039721705894,20|80|40|60,-22.17172,-51.25566,2023-06-27,2005-08-18,2028-03-31,20240503,2,160.0,inf
CLARO,50409105090,46622011|97692014|48372023|29332016|59592012|34672011,687276420,R JOSÉ FERRO,ESQUINA COM A RUA VISCONDE DE RIO BRANCO - CHÁCARA SÃO LUIZ,SP,3520608,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2117.5|2625|2640|2140|885,1780|743|1927.5|2505|2520|1950|840,245,Greenfield,,027331703519|009371303519|008541105344,16.16|14.1|17.08|16.85|14.89,27|25|30|33.74,66.76|66.56|72.66|67.81|65.28,0,50,012111805894|057731705894|027191702519|043341501882|039721705894,20|80|40|60,-22.17172,-51.25566,2023-06-27,2005-08-18,2028-03-31,20240503,3,245.0,inf
CLARO,50409105090,46622011|97692014|48372023|29332016|59592012|34672011,687276420,R JOSÉ FERRO,ESQUINA COM A RUA VISCONDE DE RIO BRANCO - CHÁCARA SÃO LUIZ,SP,3520608,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2117.5|2625|2640|2140|885,1780|743|1927.5|2505|2520|1950|840,340,Greenfield,,027331703519|009371303519|008541105344,16.16|14.1|17.08|16.85|14.89,27|25|30|33.74,66.76|66.56|72.66|67.81|65.28,0,50,012111805894|057731705894|027191702519|043341501882|039721705894,20|80|40|60,-22.17172,-51.25566,2023-06-27,2005-08-18,2028-03-31,20240503,4,340.0,inf
