NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,59072012|155832022,1002105592,RUA DOUTOR CAMPOS SALLES,,SP,3539004,20M0G7W|5M00G7W,LTE|WCDMA,2680|874.5|890.75,2560|829.5|845.75,0,,,0,2,0,0,0,5,038411301882|000081201882,40,-21.093856,-48.662244,2024-02-14,2015-11-09,2027-10-18|2028-11-29,20240503,1,0.0,0.30887
VIVO,50409146447,155832022|48422023|59072012|97432014|48412023,536447411,AVENIDA ANTONIO PRADO DA CUNHA,,SP,3539004,200KG7W|5M00G7W|20M0G7W|10M0G7W,GSM|LTE|WCDMA,874.5|890.75|1862.5|2680|1867.5|788|2160,829.5|845.75|1767.5|2560|1772.5|733|1970,50,Greenfield,não|sim,007690501705|056001603518,17.6|17|17.5|14.2|17.4|14.7,35|25,81.69|67|62|70|68,2|1,65|70,000910502519|083071803257|058221803257|048811903257|039721705894|016571601882,14.5|40,-21.096542,-48.667455,2024-01-05,2000-12-22,2028-11-29|2032-12-22|2027-10-18|2029-12-08|2038-04-30,20240503,1,50.0,0.30887
VIVO,50409146447,155832022|48422023|59072012|97432014|48412023,536447411,AVENIDA ANTONIO PRADO DA CUNHA,,SP,3539004,200KG7W|5M00G7W|20M0G7W|10M0G7W,GSM|LTE|WCDMA,874.5|890.75|1862.5|2680|1867.5|788|2160,829.5|845.75|1767.5|2560|1772.5|733|1970,160,Greenfield,não|sim,007690501705|056001603518,17.6|17|17.5|14.2|17.4|14.7,35|25,81.69|67|62|70|68,2|0,65|70,000910502519|083071803257|058221803257|048811903257|039721705894|016571601882,14.5|40,-21.096542,-48.667455,2024-01-05,2000-12-22,2028-11-29|2032-12-22|2027-10-18|2029-12-08|2038-04-30,20240503,2,160.0,0.30887
VIVO,50409146447,155832022|48422023|59072012|97432014|48412023,536447411,AVENIDA ANTONIO PRADO DA CUNHA,,SP,3539004,200KG7W|5M00G7W|20M0G7W|10M0G7W,GSM|LTE|WCDMA,874.5|890.75|1862.5|2680|1867.5|788|2160,829.5|845.75|1767.5|2560|1772.5|733|1970,300,Greenfield,não|sim,007690501705|056001603518,17.6|17|17.5|14.2|17.4|14.7,35|25,81.69|67|62|70|68,2|1,65|70,000910502519|083071803257|058221803257|048811903257|039721705894|016571601882,14.5|40,-21.096542,-48.667455,2024-01-05,2000-12-22,2028-11-29|2032-12-22|2027-10-18|2029-12-08|2038-04-30,20240503,4,300.0,0.30887
