NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,48372023|34672011,1015177651,R HORÁCIO COUTO,,SP,3501509,15M0G7W|5M00G7W,LTE|WCDMA,2117.5|2140,1927.5|1950,30,,,056001603518,14.7,25,53,0,40,027191702519,60,-22.44218,-49.76225,2023-09-06,2023-08-21,2038-04-30,20240503,1,30.0,inf
CLARO,50409105090,48372023|34672011,1015177651,R HORÁCIO COUTO,,SP,3501509,15M0G7W|5M00G7W,LTE|WCDMA,2117.5|2140,1927.5|1950,200,,,056001603518,14.7,25,53,0,40,027191702519,60,-22.44218,-49.76225,2023-09-06,2023-08-21,2038-04-30,20240503,3,200.0,inf
CLARO,50409105090,48372023|34672011,1015177651,R HORÁCIO COUTO,,SP,3501509,15M0G7W|5M00G7W,LTE|WCDMA,2117.5|2140,1927.5|1950,300,,,056001603518,14.7,25,53,0,40,027191702519,60,-22.44218,-49.76225,2023-09-06,2023-08-21,2038-04-30,20240503,4,300.0,inf
