NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011,686138023,"RUA MARCO FLORIAN, 20, CENTRO",,SP,3518008,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,955|1880|890,952.5|1870|880,60,Greenfield,não,009371303519|012720905344,14.89|17.08|13.52,30.0|20.0,65.28|72.66|68.0,2.0,60.0,014881301882|006091702519|044961602519,65.46|79.43|40.0,-20.075,-50.34333,2013-09-25,2005-03-15,2028-03-31,20240503,1,60.0,inf
CLARO,50409105090,46622011,686138023,"RUA MARCO FLORIAN, 20, CENTRO",,SP,3518008,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,955|1880|890,952.5|1870|880,130,Greenfield,não,009371303519|012720905344,14.89|17.08|13.52,30.0|20.0,65.28|72.66|68.0,2.0,60.0,014881301882|006091702519|044961602519,65.46|79.43|40.0,-20.075,-50.34333,2013-09-25,2005-03-15,2028-03-31,20240503,2,130.0,inf
