NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,166262022,1000618606,RUA JOSE ANTONIO DE OLIVEIRA,RBR-NÃO,SP,3521002,10M0G7W,LTE,1855,1760,35,,,005152003257,17.2,26,69,2,60,083071803257,40,-23.38833,-47.65389,2023-09-26,2014-11-24,2032-12-22,20240503,1,35.0,2.42488
VIVO,50409146447,166262022,1000618606,RUA JOSE ANTONIO DE OLIVEIRA,RBR-NÃO,SP,3521002,10M0G7W,LTE,1855,1760,180,,,005152003257,17.2,26,69,2,60,048811903257,40,-23.38833,-47.65389,2023-09-26,2014-11-24,2032-12-22,20240503,3,180.0,2.42488
VIVO,50409146447,166262022,1000618606,RUA JOSE ANTONIO DE OLIVEIRA,RBR-NÃO,SP,3521002,10M0G7W,LTE,1855,1760,335,,,005152003257,17.2,26,69,2,60,048811903257,40,-23.38833,-47.65389,2023-09-26,2014-11-24,2032-12-22,20240503,4,335.0,2.42488
VIVO,50409146447,97432014|166262022|48412023,1001330363,AVENIDA JOSÉ ROCHA,,SP,3521002,10M0G7W,LTE,788|2150|2160,733|1960|1970,360,Greenfield,não,056001603518,14.2|17.4,25,70|62,4,60,048811903257|083071803257,40,-23.452472,-47.550556,2023-11-21,2016-05-02,2029-12-08|2032-12-22|2038-04-30,20240503,0,360.0,2.1365749999999997
VIVO,50409146447,97432014|166262022|48412023|59072012|48422023|155832022,1001330363,AVENIDA JOSÉ ROCHA,,SP,3521002,10M0G7W|20M0G7W|5M00G7W,LTE|WCDMA,788|2150|2160|2680|1867.5|1862.5|1855|874.5,733|1960|1970|2560|1772.5|1767.5|1760|829.5,50|60,Greenfield,não,056001603518,14.2|17.4|17.5|17|14.7,25,70|62|67|68,4|2,60|59,048811903257|083071803257|058221803257|008041101882|000081201882,40,-23.452472,-47.550556,2023-11-21,2016-05-02,2029-12-08|2032-12-22|2038-04-30|2027-10-18|2028-11-29,20240503,1,60.0,2.1365749999999997
VIVO,50409146447,59072012|48422023|166262022|48412023|155832022|97432014,1001330363,AVENIDA JOSÉ ROCHA,,SP,3521002,20M0G7W|5M00G7W|10M0G7W,LTE|WCDMA,2680|1867.5|1862.5|1855|2160|874.5|788|2150,2560|1772.5|1767.5|1760|1970|829.5|733|1960,200|220,Greenfield,não,056001603518,17.5|17|17.4|14.7|14.2,25,62|67|68|70,2|6,59|60,058221803257|083071803257|008041101882|000081201882|048811903257,40,-23.452472,-47.550556,2023-11-21,2016-05-02,2027-10-18|2032-12-22|2038-04-30|2028-11-29|2029-12-08,20240503,3,200.0,2.1365749999999997
VIVO,50409146447,59072012|48422023|166262022|48412023|155832022,1001330363,AVENIDA JOSÉ ROCHA,,SP,3521002,20M0G7W|5M00G7W|10M0G7W,LTE|WCDMA,2680|1867.5|1862.5|1855|2160|874.5,2560|1772.5|1767.5|1760|1970|829.5,330,Greenfield,não,056001603518,17.5|17|17.4|14.7,25,62|67|68,2,59,058221803257|083071803257|008041101882|000081201882,40,-23.452472,-47.550556,2023-11-21,2016-05-02,2027-10-18|2032-12-22|2038-04-30|2028-11-29,20240503,4,330.0,2.1365749999999997
VIVO,50409146447,48422023|59072012|97432014|155832022|48412023,1005328479,Rua Roque Aristides de Miranda,Ao Lado do 140,SP,3521002,5M00G7W|20M0G7W|10M0G7W,LTE|WCDMA,1867.5|1862.5|2680|788|874.5|2160,1772.5|1767.5|2560|733|829.5|1970,120,Greenfield,não|sim,056001603518,16.1|13.5|16.7|14.1,30|25,65|63|64|59,5|3|11|9,59,007591301882|045621602519|057731705894|083071803257|048811903257|000081201882|008041101882|044961602519,40,-23.47806,-47.58186,2023-11-24,2017-11-14,2032-12-22|2027-10-18|2029-12-08|2028-11-29|2038-04-30,20240503,2,120.0,2.1365749999999997
VIVO,50409146447,48422023|59072012|97432014|155832022|48412023,1005328479,Rua Roque Aristides de Miranda,Ao Lado do 140,SP,3521002,5M00G7W|20M0G7W|10M0G7W,LTE|WCDMA,1862.5|1867.5|2680|788|874.5|2160,1767.5|1772.5|2560|733|829.5|1970,230,Greenfield,não|sim,056001603518,16.1|13.5|16.7|14.1,30|25,65|63|64|59,5|3|10|9,59,007591301882|045621602519|057731705894|083071803257|048811903257|000081201882|008041101882|044961602519,40,-23.47806,-47.58186,2023-11-24,2017-11-14,2032-12-22|2027-10-18|2029-12-08|2028-11-29|2038-04-30,20240503,3,230.0,2.1365749999999997
VIVO,50409146447,48422023|59072012|97432014|155832022|48412023,1005328479,Rua Roque Aristides de Miranda,Ao Lado do 140,SP,3521002,5M00G7W|20M0G7W|10M0G7W,LTE|WCDMA,1862.5|1867.5|2680|788|874.5|2160,1767.5|1772.5|2560|733|829.5|1970,350,Greenfield,não|sim,056001603518,16.1|13.5|16.7|14.1,30|25,65|63|64|59,5|3|10|9,59,007591301882|045621602519|057731705894|083071803257|048811903257|000081201882|008041101882|044961602519,40,-23.47806,-47.58186,2023-11-24,2017-11-14,2032-12-22|2027-10-18|2029-12-08|2028-11-29|2038-04-30,20240503,4,350.0,2.1365749999999997
VIVO,50409146447,97432014|166262022|59072012|48422023|155832022,1014212674,ESTRADA IPERÓ A SOROCABA,,SP,3521002,10M0G7W|20M0G7W|5M00G7W,LTE|WCDMA,788|1855|2680|1862.5|1867.5|874.5,733|1760|2560|1767.5|1772.5|829.5,130,,,0,15|17.4|18.7|15.4,21|23|24|22,70.7|69|58,2,60,048811903257|083071803257|058221803257|000081201882,40,-23.39105,-47.60654,2024-01-02,2022-09-13,2029-12-08|2032-12-22|2027-10-18|2028-11-29,20240503,2,130.0,2.42488
VIVO,50409146447,97432014|166262022|59072012|48422023|155832022,1014212674,ESTRADA IPERÓ A SOROCABA,,SP,3521002,10M0G7W|20M0G7W|5M00G7W,LTE|WCDMA,788|1855|2680|1862.5|1867.5|874.5,733|1760|2560|1767.5|1772.5|829.5,230,,,0,15|17.4|18.7|15.4,21|23|24|22,70.7|69|58,2,60,048811903257|083071803257|058221803257|000081201882,40,-23.39105,-47.60654,2024-01-02,2022-09-13,2029-12-08|2032-12-22|2027-10-18|2028-11-29,20240503,3,230.0,2.42488
VIVO,50409146447,97432014|166262022|59072012|48422023|48412023,1014212674,ESTRADA IPERÓ A SOROCABA,,SP,3521002,10M0G7W|20M0G7W|5M00G7W,LTE|WCDMA,788|1855|2680|1862.5|1867.5|2160,733|1760|2560|1767.5|1772.5|1970,350,,,0,15|17.4|18.7|17.9,21|23|24,70.7|69|58|64,2,60,048811903257|083071803257|058221803257|008041101882,40,-23.39105,-47.60654,2024-01-02,2022-09-13,2029-12-08|2032-12-22|2027-10-18|2038-04-30,20240503,4,350.0,2.42488
VIVO,50409146447,59072012|97432014|166262022,1014944616,AVENIDA URSULA WIEGAND,RBR-NÃO,SP,3521002,20M0G7W|10M0G7W,LTE,2680|788|1855,2560|733|1760,60,,,056001603518,16|14.5|15.8,25,60|68|67,2,45|50,058221803257|048811903257,40,-23.35885,-47.697053,2023-09-26,2023-05-30,2027-10-18|2029-12-08|2032-12-22,20240503,1,60.0,0.7803
VIVO,50409146447,59072012|97432014|166262022,1014944616,AVENIDA URSULA WIEGAND,RBR-NÃO,SP,3521002,20M0G7W|10M0G7W,LTE,2680|788|1855,2560|733|1760,160,,,056001603518,16|14.5|15.8,25,60|68|67,2,45|50,058221803257|048811903257,40,-23.35885,-47.697053,2023-09-26,2023-05-30,2027-10-18|2029-12-08|2032-12-22,20240503,2,160.0,0.7803
VIVO,50409146447,59072012|97432014|166262022,1014944616,AVENIDA URSULA WIEGAND,RBR-NÃO,SP,3521002,20M0G7W|10M0G7W,LTE,2680|788|1855,2560|733|1760,280,,,056001603518,16|14.5|15.8,25,60|68|67,2,45|50,058221803257|048811903257,40,-23.35885,-47.697053,2023-09-26,2023-05-30,2027-10-18|2029-12-08|2032-12-22,20240503,4,280.0,0.7803
VIVO,50409146447,48422023|155832022|97432014|59072012|48412023,2080915,Rua Arnaldo César de Andrade,,SP,3521002,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1867.5|1862.5|874.5|890.75|788|2680|2160,1772.5|1767.5|829.5|845.75|733|2560|1970,100,Greenfield,não|sim,007690501705|056001603518|026960904280,17.8|14.5|17.7|17|16.5|15.8,35|24|28|26|30,81.69|62|58|65|71,6|2,50|48,006030301882|000910502519|048811903257|058221803257|083071803257|008041101882|000081201882,15.8|14.5|40,-23.3472,-47.688467,2023-09-10|2023-12-01,1999-12-10,2032-12-22|2028-11-29|2029-12-08|2027-10-18|2038-04-30,20240503,2,100.0,0.7803
VIVO,50409146447,48422023|155832022|97432014|59072012|48412023,2080915,Rua Arnaldo César de Andrade,,SP,3521002,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1862.5|1867.5|874.5|890.75|788|2680|2160,1767.5|1772.5|829.5|845.75|733|2560|1970,220,Greenfield,não|sim,007690501705|056001603518|026960904280,17.8|14.5|17.7|17|16.5|15.8,35|24|28|26|30,81.69|62|58|65|71,6|2,50|48,006030301882|000910502519|048811903257|058221803257|083071803257|008041101882|000081201882,15.8|14.5|40,-23.3472,-47.688467,2023-09-10|2023-12-01,1999-12-10,2032-12-22|2028-11-29|2029-12-08|2027-10-18|2038-04-30,20240503,3,220.0,0.7803
VIVO,50409146447,48422023|155832022|97432014|59072012|48412023,2080915,Rua Arnaldo César de Andrade,,SP,3521002,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1862.5|1867.5|874.5|890.75|788|2680|2160,1767.5|1772.5|829.5|845.75|733|2560|1970,340,Greenfield,não|sim,007690501705|056001603518|026960904280,17.8|14.5|17.7|17|16.5|15.8,35|24|28|26|30,81.69|62|58|65|71,6|2,50|48,006030301882|000910502519|048811903257|058221803257|083071803257|008041101882|000081201882,35.5|14.5|40,-23.3472,-47.688467,2023-09-10|2023-12-01,1999-12-10,2032-12-22|2028-11-29|2029-12-08|2027-10-18|2038-04-30,20240503,4,340.0,0.7803
