NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014|69272020|32702021,689975112,RUA MARIA IZABEL,,SP,3501400,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130|874.5,911.25|1717.5|1727.5|1735|723|1940|829.5,0,Greenfield,,056001603518,11.96|16.15,25,74|65,0,34|40,000790401592|007591301882|057731705894|006091702519|027191702519|000081201882,20|40,-22.077389,-49.720861,2023-09-11,2008-01-22,2029-12-08|2023-04-30,20240503,1,0.0,inf
TIM,50010613854,47102015|48352023|97812014|69272020|32702021,689975112,RUA MARIA IZABEL,,SP,3501400,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130|874.5,911.25|1717.5|1727.5|1735|723|1940|829.5,135,Greenfield,,056001603518,11.96|16.15,25,74|65,0,34|40,000790401592|007591301882|057731705894|006091702519|027191702519|000081201882,20|40,-22.077389,-49.720861,2023-09-11,2008-01-22,2029-12-08|2023-04-30,20240503,2,135.0,inf
