NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|48372023,687215447,AV DOUTOR CAMPOS SALES,COM AV. NOVE DE JULHO - CHÁCARA BOA VISTA,SP,3539004,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|798|2117.5|885|892.75,1780|743|1927.5|840|847.75,25,Greenfield,não,027331703519|012720905344,16.16|14.1|16.18|13.52,27|25|20,66.76|66.56|65|68,1,60,012111805894|057731705894|018151001882|039721705894|010641001882,20|40|80|60.2|63.5,-21.09611,-48.66333,2023-06-21,2005-06-28,2028-03-31,20240503,1,25.0,inf
CLARO,50409105090,46622011|97692014|48372023,687215447,AV DOUTOR CAMPOS SALES,COM AV. NOVE DE JULHO - CHÁCARA BOA VISTA,SP,3539004,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|798|2117.5|885|892.75,1780|743|1927.5|840|847.75,170,Greenfield,não,027331703519|012720905344,16.16|14.1|16.18|13.52,27|25|20,66.76|66.56|65|68,1,60,012111805894|057731705894|018151001882|010641001882|039721705894,20|40|80|60.2|63.5,-21.09611,-48.66333,2023-06-21,2005-06-28,2028-03-31,20240503,2,170.0,inf
CLARO,50409105090,46622011|97692014|48372023,687215447,AV DOUTOR CAMPOS SALES,COM AV. NOVE DE JULHO - CHÁCARA BOA VISTA,SP,3539004,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|798|2117.5|885|892.75,1780|743|1927.5|840|847.75,280,Greenfield,não,027331703519|012720905344,16.16|14.1|16.18|13.52,27|25|20,66.76|66.56|65|68,1,60,012111805894|057731705894|018151001882|010641001882|039721705894,20|40|80|60.2|63.5,-21.09611,-48.66333,2023-06-21,2005-06-28,2028-03-31,20240503,4,280.0,inf
