NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|16952008,686137760,"FAZ SÃO PAULO, 1700, SÍTIO MORUMBI",,SP,3542909,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|803|2125|890|894,1870|793|2110|880|891.5,0|40,Greenfield,não,027331703519|012720905344,16.16|14.1|16.18|13.52,27.0|25.0|20.0,66.76|66.56|65.0|68.0,1.0,60.0,012111805894|057731705894|018151001882|010641001882|039721705894,20.0|40.0|80.0|60.2|63.5,-22.07861,-48.18139,2019-06-13,2005-03-15,2028-03-31|2029-12-08|2023-04-30,20240503,1,20.0,inf
CLARO,50409105090,46622011|97692014|16952008,686137760,"FAZ SÃO PAULO, 1700, SÍTIO MORUMBI",,SP,3542909,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|803|2125|890|894,1870|793|2110|880|891.5,150,Greenfield,não,027331703519|012720905344,16.16|14.1|16.18|13.52,27.0|25.0|20.0,66.76|66.56|65.0|68.0,1.0|2.0,60.0,012111805894|057731705894|018151001882|039721705894|010641001882,20.0|40.0|80.0|60.2|63.5,-22.07861,-48.18139,2019-06-13,2005-03-15,2028-03-31|2029-12-08|2023-04-30,20240503,2,150.0,inf
