NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|97432014|41662008,687528720,Rua Presidente Vargas,X Rua 21 de Abril,SP,3552551,5M00G7W|10M0G7W,LTE|WCDMA,1862.5|1867.5|788|874.5,1767.5|1772.5|733|829.5,360,Greenfield,sim,005152003257|012720905344,17.2|14|15.5,26|21|25,69|66|68,4|5|2,60,083071803257|048811903257|044961602519,40,-20.501114,-51.027878,2023-09-21,2005-10-05,2023-08-05,0,360.0,inf
VIVO,50409146447,48422023|97432014|41662008,687528720,Rua Presidente Vargas,X Rua 21 de Abril,SP,3552551,5M00G7W|10M0G7W,LTE|WCDMA,1862.5|1867.5|788|874.5,1767.5|1772.5|733|829.5,110,Greenfield,sim,005152003257|012720905344,17.2|14|15.5,26|21|25,69|66|68,4|5|2,60,083071803257|048811903257|044961602519,40,-20.501114,-51.027878,2023-09-21,2005-10-05,2023-08-05,2,110.0,inf
VIVO,50409146447,48422023|97432014|41662008,687528720,Rua Presidente Vargas,X Rua 21 de Abril,SP,3552551,5M00G7W|10M0G7W,LTE|WCDMA,1862.5|1867.5|788|874.5,1767.5|1772.5|733|829.5,210,Greenfield,sim,005152003257|012720905344,17.2|14|15.5,26|21|25,69|66|68,4|5|2,60,083071803257|048811903257|044961602519,40,-20.501114,-51.027878,2023-09-21,2005-10-05,2023-08-05,3,210.0,inf
