NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,97812014|16992008,1006017647,PRAÇA DA BANDEIRA 610,,SP,3545100,10M0G7W|5M00G7W,LTE|WCDMA,783|2135,773|2125,70,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,15,018591601350|008041101882|027191702519,40|80|60,-21.62556,-50.86083,2019-12-04,2018-03-26,2029-12-08|2023-04-30,20240503,1,70.0,inf
TIM,50010613854,97812014|16992008,1006017647,PRAÇA DA BANDEIRA 610,,SP,3545100,10M0G7W|5M00G7W,LTE|WCDMA,783|2135,773|2125,200,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,15,018591601350|008041101882|027191702519,40|80|60,-21.62556,-50.86083,2019-12-04,2018-03-26,2029-12-08|2023-04-30,20240503,3,200.0,inf
TIM,50010613854,97812014|16992008,1006017647,PRAÇA DA BANDEIRA 610,,SP,3545100,10M0G7W|5M00G7W,LTE|WCDMA,783|2135,773|2125,330,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,15,018591601350|008041101882|027191702519,40|80|60,-21.62556,-50.86083,2019-12-04,2018-03-26,2029-12-08|2023-04-30,20240503,4,330.0,inf
