NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|29272013|97812014|16992008,685073718,AVENIDA ALECIO DE SOUZA MACHADO 755 LT 12 QD. 54,,SP,3521606,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1820|1825|1832.5|957.5|783|2135,1805|1820|1827.5|955|773|2125,130,Greenfield,não,056001603518,16.15|11.96,25,65|74,7,60,032121203903|000790401592|031191601350|008041101882,89|40|60|80,-21.56583,-51.34889,2019-12-04,2005-01-05,2031-03-11|2023-04-30|2029-12-08,20240503,2,130.0,inf
TIM,50010613854,47102015|29272013|97812014|16992008,685073718,AVENIDA ALECIO DE SOUZA MACHADO 755 LT 12 QD. 54,,SP,3521606,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1820|1825|1832.5|957.5|783|2135,1805|1820|1827.5|955|773|2125,230,Greenfield,não,056001603518,16.15|11.96,25,65|74,7,60,032121203903|000790401592|031191601350|008041101882,89|40|60|80,-21.56583,-51.34889,2019-12-04,2005-01-05,2031-03-11|2023-04-30|2029-12-08,20240503,3,230.0,inf
TIM,50010613854,47102015|29272013|97812014|16992008,685073718,AVENIDA ALECIO DE SOUZA MACHADO 755 LT 12 QD. 54,,SP,3521606,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1820|1825|1832.5|957.5|783|2135,1805|1820|1827.5|955|773|2125,350,Greenfield,não,056001603518,16.15|11.96,25,65|74,7,60,032121203903|000790401592|031191601350|008041101882,89|40|60|80,-21.56583,-51.34889,2019-12-04,2005-01-05,2031-03-11|2023-04-30|2029-12-08,20240503,4,350.0,inf
