NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,97812014|16992008,1006391042,RUA JOSE NOGUEIRA DE SOUZA S/N,,SP,3556958,10M0G7W|5M00G7W,LTE|WCDMA,783|2135,773|2125,30,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,53,018591601350|027191702519,40|60,-20.19528,-50.48444,2019-12-04,2018-04-20,2029-12-08|2023-04-30,20240503,1,30.0,inf
TIM,50010613854,97812014|16992008,1006391042,RUA JOSE NOGUEIRA DE SOUZA S/N,,SP,3556958,10M0G7W|5M00G7W,LTE|WCDMA,783|2135,773|2125,150,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,53,018591601350|027191702519,40|60,-20.19528,-50.48444,2019-12-04,2018-04-20,2029-12-08|2023-04-30,20240503,2,150.0,inf
TIM,50010613854,97812014|16992008,1006391042,RUA JOSE NOGUEIRA DE SOUZA S/N,,SP,3556958,10M0G7W|5M00G7W,LTE|WCDMA,783|2135,773|2125,220,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,53,018591601350|027191702519,40|60,-20.19528,-50.48444,2019-12-04,2018-04-20,2029-12-08|2023-04-30,20240503,3,220.0,inf
