NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|155832022|166262022|48412023,684407361,AVENIDA CORONEL FRANCISCO MARTINS,,SP,3513207,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,1862.5|1867.5|874.5|890.75|1855|2150|2160,1767.5|1772.5|829.5|845.75|1760|1960|1970,40,Greenfield,não,002000703518,17.6|17.5|14.7,28|25,65|60.17|75.66,5|3,55,006091702519|000910502519|083071803257|000081201882|008041101882,40|32.5,-20.407033,-47.418258,2023-12-27,2004-03-10,2032-12-22|2028-11-29|2038-04-30,20240103,1,40.0,inf
VIVO,50409146447,155832022|48422023|166262022|48412023,684407361,AVENIDA CORONEL FRANCISCO MARTINS,,SP,3513207,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,874.5|890.75|1862.5|1867.5|1855|2150|2160,829.5|845.75|1767.5|1772.5|1760|1960|1970,180,Greenfield,não,002000703518,17.6|17.5|14.7,28|25,65|60.17|75.66,5|3,55,000910502519|006091702519|083071803257|000081201882|008041101882,32.5|40,-20.407033,-47.418258,2023-12-27,2004-03-10,2028-11-29|2032-12-22|2038-04-30,20240103,3,180.0,inf
VIVO,50409146447,155832022|48422023|166262022|48412023,684407361,AVENIDA CORONEL FRANCISCO MARTINS,,SP,3513207,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,890.75|1862.5|1867.5|874.5|1855|2150|2160,845.75|1767.5|1772.5|829.5|1760|1960|1970,320,Greenfield,não,002000703518,17.6|17.5|14.7,28|25,65|60.17|75.66,5|3,55,000910502519|006091702519|083071803257|000081201882|008041101882,32.5|40,-20.407033,-47.418258,2023-12-27,2004-03-10,2028-11-29|2032-12-22|2038-04-30,20240103,4,320.0,inf
