NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011,1014806213,RODOVIA FELICIANO SALLES DA CUNHA,,SP,3528304,200KG7W|5M00G7W|2M50G7W,GSM|LTE,885|892.75,840|847.75,110,,,,13.8,23,70,0,61,039721705894,80,-20.64324,-50.22182,2023-07-25,2023-03-29,2028-03-31,20240503,2,110.0,0.637225
CLARO,50409105090,46622011,1014806213,RODOVIA FELICIANO SALLES DA CUNHA,,SP,3528304,200KG7W|5M00G7W|2M50G7W,GSM|LTE,885|892.75,840|847.75,210,,,,13.8,23,70,0,61,039721705894,80,-20.64324,-50.22182,2023-07-25,2023-03-29,2028-03-31,20240503,3,210.0,0.637225
CLARO,50409105090,46622011,1014806213,RODOVIA FELICIANO SALLES DA CUNHA,,SP,3528304,200KG7W|5M00G7W|2M50G7W,GSM|LTE,885|892.75,840|847.75,285,,,,13.8,23,70,0,61,039721705894,80,-20.64324,-50.22182,2023-07-25,2023-03-29,2028-03-31,20240503,4,285.0,0.637225
CLARO,50409105090,59592012|29332016|46622011,687294550,"ROD FELICIANO SALES DA CUNHA, KM 531,7, ZONA RURAL",,SP,3528304,20M0G7W|10M0G7W|5M00G7W,LTE|WCDMA,2650|2630|890,2630|2620|880,50,Greenfield,não,008541105344|012720905344,16.85|13.52,33.74|20.0,67.81|68.0,2.0,67.0|64.0,024251201882|008881101882,30.0|72.44,-20.64139,-50.23389,2016-09-21,2005-08-18,2027-10-18|2028-03-31,20240503,1,50.0,0.637225
CLARO,50409105090,46622011|59592012|29332016,687294550,"ROD FELICIANO SALES DA CUNHA, KM 531,7, ZONA RURAL",,SP,3528304,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|2630|890|955,1870|2630|2620|880|952.5,120|130,Greenfield,não,012740905344|008541105344|012720905344|010090301705,16.6|16.85|13.52|16.94,30.45|33.74|20.0|34.85,82.86|67.81|68.0|90.0,7.0|2.0|0.0,70.0|67.0|64.0,006030301882|024251201882|008881101882|011560301882,35.5|30.0|72.44|47.6,-20.64139,-50.23389,2016-09-21,2005-08-18,2028-03-31|2027-10-18,20240503,2,120.0,0.637225
CLARO,50409105090,46622011|59592012|29332016,687294550,"ROD FELICIANO SALES DA CUNHA, KM 531,7, ZONA RURAL",,SP,3528304,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|2630|890,1870|2630|2620|880,270,Greenfield,não,008880301705|008541105344|012720905344,12.0|16.85|13.52,38.38|33.74|20.0,92.39|67.81|68.0,6.0|2.0,70.0|67.0|64.0,006030301882|024251201882|008881101882,35.5|30.0|72.44,-20.64139,-50.23389,2016-09-21,2005-08-18,2028-03-31|2027-10-18,20240503,4,270.0,0.637225
