NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014|34672011|48372023,687376335,R ANTONIO NOGUEIRA DA SILVA,,SP,3517307,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2140|2117.5|885,1780|743|1950|1927.5|840,50,Greenfield,não,027331703519|012720905344,16.16|14.1|13.52,27|25|26|20,66.76|66.56|68,0,71,040952002519|057731705894|010641001882|039721705894,60|80|63.5,-21.91119,-49.89454,2023-06-23,2005-08-18,2028-03-31,20240503,1,50.0,inf
CLARO,50409105090,46622011|97692014|34672011|48372023,687376335,R ANTONIO NOGUEIRA DA SILVA,,SP,3517307,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2140|2117.5|885,1780|743|1950|1927.5|840,220,Greenfield,não,027331703519|012720905344,16.16|14.1|13.52,27|25|26|20,66.76|66.56|68,0,71,040952002519|057731705894|010641001882|039721705894,60|80|63.5,-21.91119,-49.89454,2023-06-23,2005-08-18,2028-03-31,20240503,3,220.0,inf
CLARO,50409105090,46622011|97692014|34672011|48372023,687376335,R ANTONIO NOGUEIRA DA SILVA,,SP,3517307,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|2140|2117.5|885,1780|743|1950|1927.5|840,330,Greenfield,não,027331703519|012720905344,16.16|14.1|13.52,27|25|26|20,66.76|66.56|68,0,71,040952002519|057731705894|010641001882|039721705894,60|80|63.5,-21.91119,-49.89454,2023-06-23,2005-08-18,2028-03-31,20240503,4,330.0,inf
