NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|29332016|59592012|34672011|48372023,690633564,AV BARAO DO RIO BRANCO,,SP,3507704,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2625|2640|2140|2117.5|885,1780|2505|2520|1950|1927.5|840,20,Greenfield,não,017960800324|056001603518,17.03|14.3|14.5|14.7|14,32|25|23,69.42|65|59|53|62,2|0,50.5|60,006030301882|040952002519|024251201882|043341501882|008881101882,35.5|60|30|40|72.44,-21.50444,-50.31777,2023-06-27,2008-09-29,2038-04-30,20240503,1,20.0,inf
CLARO,50409105090,46622011|29332016|59592012|34672011|48372023,690633564,AV BARAO DO RIO BRANCO,,SP,3507704,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2625|2640|2140|2117.5|885,1780|2505|2520|1950|1927.5|840,215,Greenfield,não,017960800324|056001603518,17.03|14.3|14.5|14.7|14,32|25|23,69.42|65|59|53|62,0|2,50.5|60,006030301882|040952002519|024251201882|043341501882|008881101882,35.5|60|30|40|72.44,-21.50444,-50.31777,2023-06-27,2008-09-29,2038-04-30,20240503,3,215.0,inf
CLARO,50409105090,46622011|34672011|48372023|59592012|29332016,690633564,AV BARAO DO RIO BRANCO,,SP,3507704,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2140|2117.5|2640|2625|885,1780|1950|1927.5|2520|2505|840,305,Greenfield,não,017960800324|056001603518,17.03|14.3|14.7|14.5|14,32|25|23,69.42|65|53|59|62,1|2,50.5|60,006030301882|040952002519|043341501882|024251201882|008881101882,35.5|60|40|30|72.44,-21.50444,-50.31777,2023-06-27,2008-09-29,2038-04-30,20240503,4,305.0,inf
