NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,59072012|48422023|166262022|155832022,426613660,RUA EUCLIDES DA CUNHA,RBR-NÃO,SP,3506409,20M0G7W|5M00G7W|10M0G7W|200KG7W,LTE|GSM,2680|1862.5|1867.5|2150|890.75|874.5,2560|1767.5|1772.5|1960|845.75|829.5,90|110,Greenfield,não|sim,056001603518|005200301293|002000703518,17.5|16.7|17.2|17.6,30|34|28,57|64|60|65,3|5|1|0,56|60|53.5,058221803257|083071803257|011691101882|000910502519,40|73.9|35|14.5|18.5,-21.4073,-50.476619,2023-09-26,1999-12-15,2027-10-18|2032-12-22|2028-11-29,20240103,2,110.0,inf
VIVO,50409146447,48422023|155832022|59072012|166262022,426613660,RUA EUCLIDES DA CUNHA,RBR-NÃO,SP,3506409,200KG7W|20M0G7W|5M00G7W|10M0G7W,GSM|LTE,1862.5|874.5|1867.5|890.75|2680|2150,1767.5|829.5|1772.5|845.75|2560|1960,230|240,Greenfield,não|sim,002000703518|005200301293|056001603518,17.6|17.5|16.7|17.2,28|34|30,65|57|64|60,0|2,53.5|60|56,011691101882|000910502519|058221803257|083071803257,18.5|14.5|73.9|35|40,-21.4073,-50.476619,2023-09-26,1999-12-15,2032-12-22|2028-11-29|2027-10-18,20240103,3,230.0,inf
VIVO,50409146447,48422023|155832022|59072012|166262022,426613660,RUA EUCLIDES DA CUNHA,RBR-NÃO,SP,3506409,200KG7W|20M0G7W|5M00G7W|10M0G7W,GSM|LTE,1862.5|874.5|890.75|1867.5|2680|2150,1767.5|829.5|845.75|1772.5|2560|1960,350,Greenfield,não|sim,002000703518|005200301293|056001603518,17.6|17.5|16.7|17.2,28|34|30,65|57|64|60,1|0|3,53.5|60|56,011691101882|000910502519|058221803257|083071803257,18.5|14.5|73.9|35|40,-21.4073,-50.476619,2023-09-26,1999-12-15,2032-12-22|2028-11-29|2027-10-18,20240103,4,350.0,inf
