NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|48422023|97432014,687526698,RUA JOSÉ SOARES SILVA,"X RUA DOUTOR PIO ANTUNES FIGUEIREDO, 321",SP,3527256,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,874.5|1867.5|788|1862.5,829.5|1772.5|733|1767.5,360,Greenfield,não|sim,038801200762|024731703257|002000703518,17.8|15.5|14.7,25|22,65|45|68|75.66,3|0,25|26|30,000910502519|083071803257|048811903257|000081201882,14.5|40,-20.968403,-50.224872,2024-01-03,2005-10-05,2028-11-29,20240103,0,360.0,inf
VIVO,50409146447,155832022|48422023|97432014,687526698,RUA JOSÉ SOARES SILVA,"X RUA DOUTOR PIO ANTUNES FIGUEIREDO, 321",SP,3527256,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,874.5|1867.5|788|1862.5,829.5|1772.5|733|1767.5,100,Greenfield,não|sim,038801200762|024731703257|002000703518,17.8|15.5|14.7,25|22,65|45|68|75.66,3|0,25|26|30,000910502519|083071803257|048811903257|000081201882,14.5|40,-20.968403,-50.224872,2024-01-03,2005-10-05,2028-11-29,20240103,2,100.0,inf
VIVO,50409146447,155832022|48422023|97432014,687526698,RUA JOSÉ SOARES SILVA,"X RUA DOUTOR PIO ANTUNES FIGUEIREDO, 321",SP,3527256,200KG7W|5M00G7W|10M0G7W,GSM|LTE|WCDMA,874.5|1867.5|788|1862.5,829.5|1772.5|733|1767.5,200,Greenfield,não|sim,038801200762|024731703257|002000703518,17.8|15.5|14.7,25|22,65|45|68|75.66,3|0,25|26|30,000910502519|083071803257|048811903257|000081201882,14.5|40,-20.968403,-50.224872,2024-01-03,2005-10-05,2028-11-29,20240103,3,200.0,inf
