NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|59592012|29332016,690735561,"AV THIRSO MARTINS, S/N, CENTRO",,SP,3544806,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|2630|890,1870|2630|2620|880,10,Greenfield,não,017960800324|008541105344|012720905344,17.03|16.85|13.52,32.0|33.74|20.0,69.42|67.81|68.0,1.0|0.0,60.0|58.0,006030301882|024251201882|008881101882,35.5|30.0|72.44,-21.34167,-49.49806,2016-09-12,2008-10-17,2028-03-31|2027-10-18,20240503,1,10.0,inf
CLARO,50409105090,46622011|59592012|29332016,690735561,"AV THIRSO MARTINS, S/N, CENTRO",,SP,3544806,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|2630|890,1870|2630|2620|880,110,Greenfield,não,017960800324|008541105344|012720905344,17.03|16.85|13.52,32.0|33.74|20.0,69.42|67.81|68.0,2.0,52.0|60.0|58.0,006030301882|024251201882|008881101882,35.5|30.0|72.44,-21.34167,-49.49806,2016-09-12,2008-10-17,2028-03-31|2027-10-18,20240503,2,110.0,inf
CLARO,50409105090,46622011|59592012|29332016,690735561,"AV THIRSO MARTINS, S/N, CENTRO",,SP,3544806,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|2630|890,1870|2630|2620|880,250,Greenfield,não,017960800324|008541105344|012720905344,17.03|16.85|13.52,32.0|33.74|20.0,69.42|67.81|68.0,1.0,52.0|60.0|58.0,006030301882|024251201882|008881101882,35.5|30.0|72.44,-21.34167,-49.49806,2016-09-12,2008-10-17,2028-03-31|2027-10-18,20240503,3,250.0,inf
