NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|69272020,688961886,Rua Cesare Purgato,,SP,3530904,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|2130,911.25|1717.5|1940,0,Greenfield,sim,012720905344,13.5|16.2,20,68|65,-4,47,000790401592|007591301882|005851101882,20|40,-22.92944,-47.56917,2023-07-06,2007-02-01,2031-03-11|2023-04-30,20240503,1,0.0,inf
TIM,50010613854,47102015|48352023|69272020,688961886,Rua Cesare Purgato,,SP,3530904,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|2130,911.25|1717.5|1940,110,Greenfield,sim,012720905344,13.5|16.2,20,68|65,-4,47,000790401592|007591301882|005851101882,20|40,-22.92944,-47.56917,2023-07-06,2007-02-01,2031-03-11|2023-04-30,20240503,2,110.0,inf
