NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,97812014|47102015|29272013|16992008,1005998504,RUA KENZO KANO 250 CENTRO,,SP,3503356,10M0G7W|5M00G7W,LTE|WCDMA,783|1820|1825|1832.5|2135,773|1805|1820|1827.5|2125,30,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,41,031191601350|007591301882|027191702519,40|60,-21.77278,-50.46806,2019-12-04,2018-03-26,2029-12-08|2031-03-11|2023-04-30,20240503,1,30.0,inf
TIM,50010613854,97812014|47102015|29272013|16992008,1005998504,RUA KENZO KANO 250 CENTRO,,SP,3503356,10M0G7W|5M00G7W,LTE|WCDMA,783|1820|1825|1832.5|2135,773|1805|1820|1827.5|2125,100,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,41,031191601350|007591301882|027191702519,40|60,-21.77278,-50.46806,2019-12-04,2018-03-26,2029-12-08|2031-03-11|2023-04-30,20240503,2,100.0,inf
TIM,50010613854,97812014|47102015|29272013|16992008,1005998504,RUA KENZO KANO 250 CENTRO,,SP,3503356,10M0G7W|5M00G7W,LTE|WCDMA,783|1820|1825|1832.5|2135,773|1805|1820|1827.5|2125,180,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,41,031191601350|007591301882|027191702519,40|60,-21.77278,-50.46806,2019-12-04,2018-03-26,2029-12-08|2031-03-11|2023-04-30,20240503,3,180.0,inf
