NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|97812014|48352023,688963889,Rua Alferes Manuel Joaquim 991 Centro,-,SP,3508207,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1832.5|956.25|778|2150,1717.5|1737.5|911.25|723|1960,210,Greenfield,,056001603518,16.15|11.96,25,65|74,-7,63,007591301882|000790401592|031191601350|008041101882,20|40,-20.19167,-47.70444,2024-04-09,2007-02-01,2031-03-11|2029-12-08|2038-04-30,20240503,3,210.0,inf
TIM,50010613854,47102015|97812014|48352023,688963889,Rua Alferes Manuel Joaquim 991 Centro,-,SP,3508207,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1832.5|956.25|778|2150,1717.5|1737.5|911.25|723|1960,320,Greenfield,,056001603518,16.15|11.96,25,65|74,-7,63,007591301882|000790401592|031191601350|008041101882,20|40,-20.19167,-47.70444,2024-04-09,2007-02-01,2031-03-11|2029-12-08|2038-04-30,20240503,4,320.0,inf
