NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|97432014|48422023|59072012,687472512,AVENIDA JOSÉ THEODORO DE SOUZA,PREFEITURA MUNICIPAL DE CAMPOS NOVOS PAULISTA,SP,3509809,200KG7W|10M0G7W|5M00G7W|20M0G7W,GSM|LTE|WCDMA,874.5|788|1867.5|2680|1862.5,829.5|733|1772.5|2560|1767.5,10,Greenfield,não|sim,024731703257|012720905344,14.7|15.5|16.7,22|25,68|45|60,2|4,70,000910502519|048811903257|083071803257|058221803257|000081201882,14.5|40,-22.601511,-50.001925,2023-12-27,2005-09-27,2028-11-29|2029-12-08|2032-12-22|2027-10-18,20240103,1,10.0,inf
VIVO,50409146447,155832022|97432014|48422023|59072012,687472512,AVENIDA JOSÉ THEODORO DE SOUZA,PREFEITURA MUNICIPAL DE CAMPOS NOVOS PAULISTA,SP,3509809,200KG7W|10M0G7W|5M00G7W|20M0G7W,GSM|LTE|WCDMA,874.5|788|1867.5|2680|1862.5,829.5|733|1772.5|2560|1767.5,140,Greenfield,não|sim,024731703257|012720905344,14.7|15.5|16.7,22|25,68|45|60,2|4,70,000910502519|048811903257|083071803257|058221803257|000081201882,14.5|40,-22.601511,-50.001925,2023-12-27,2005-09-27,2028-11-29|2029-12-08|2032-12-22|2027-10-18,20240103,2,140.0,inf
VIVO,50409146447,155832022|97432014|48422023|59072012,687472512,AVENIDA JOSÉ THEODORO DE SOUZA,PREFEITURA MUNICIPAL DE CAMPOS NOVOS PAULISTA,SP,3509809,200KG7W|10M0G7W|5M00G7W|20M0G7W,GSM|LTE|WCDMA,874.5|788|1867.5|2680|1862.5,829.5|733|1772.5|2560|1767.5,250,Greenfield,não|sim,024731703257|012720905344,14.7|15.5|16.7,22|25,68|45|60,0|4,70,000910502519|048811903257|083071803257|058221803257|000081201882,14.5|40,-22.601511,-50.001925,2023-12-27,2005-09-27,2028-11-29|2029-12-08|2032-12-22|2027-10-18,20240103,3,250.0,inf
