NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014,684774674,RUA JOAQUIM GARCIA,DIVINOLANDIA,SP,3513900,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1822.5|1830|956.25|778|2130,1717.5|1727.5|1735|911.25|723|1940,0,Greenfield,não,056001603518,11.96,32|26|28|25|31.24,84.27|81.69|90|74|83.37,-4,40,007591301882|016081103903|057731705894|008041101882,20|40,-21.663,-46.73725,2024-01-17,2004-09-21,2031-03-11|2038-04-30|2029-12-08,20240503,1,0.0,inf
TIM,50010613854,47102015|48352023|97812014,684774674,RUA JOAQUIM GARCIA,DIVINOLANDIA,SP,3513900,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,956.25|1812.5|1822.5|1830|778|2130,911.25|1717.5|1727.5|1735|723|1940,100,Greenfield,não,056001603518,11.96,26|32|28|25|31.24,81.69|84.27|90|74|83.37,-4,40,016081103903|007591301882|057731705894|008041101882,20|40,-21.663,-46.73725,2024-01-17,2004-09-21,2031-03-11|2038-04-30|2029-12-08,20240503,2,100.0,inf
TIM,50010613854,47102015|48352023|97812014,684774674,RUA JOAQUIM GARCIA,DIVINOLANDIA,SP,3513900,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1822.5|1830|956.25|778|2130,1717.5|1727.5|1735|911.25|723|1940,260,Greenfield,não,056001603518,11.96,32|26|25|28|31.24,84.27|81.69|74|90|83.37,-4,40,007591301882|016081103903|057731705894|008041101882,20|40,-21.663,-46.73725,2024-01-17,2004-09-21,2031-03-11|2038-04-30|2029-12-08,20240503,3,260.0,inf
