NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|16992008,689461313,"AVENIDA DAS SAUDADES,S/N,CENTRO",,SP,3548104,200KG7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,1820|1822.5|1825|957.5|2135,1805|1820|1822.5|955|2125,20,Greenfield,não,013280301705|011471500324|043601403519,11.3|15.8|15.7,30.0|26.0,65.00|71.75,7.00,60.0,007591301882|000790401592|005851101882,60|65,-22.113931,-46.683069,2017-05-15,2007-09-14,2031-03-11|2023-04-30,20240503,1,20.0,inf
TIM,50010613854,47102015|16992008,689461313,"AVENIDA DAS SAUDADES,S/N,CENTRO",,SP,3548104,200KG7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1820|1825|1822.5|2135,1805|1822.5|1820|2125,100,Greenfield,não,011021100324,16.5|16.4,30.0|36.0,74.66|74.00,7.00,60.0,007591301882|005851101882,60,-22.113931,-46.683069,2017-05-15,2007-09-14,2031-03-11|2023-04-30,20240503,2,100.0,inf
TIM,50010613854,47102015|16992008,689461313,"AVENIDA DAS SAUDADES,S/N,CENTRO",,SP,3548104,200KG7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1820|1822.5|1825|2135,1805|1820|1822.5|2125,240,Greenfield,não,011021100324,16.5|16.4,30.0|36.0,74.66|74.00,7.00,60.0,007591301882|005851101882,60,-22.113931,-46.683069,2017-05-15,2007-09-14,2031-03-11|2023-04-30,20240503,3,240.0,inf
