NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|48352023|97812014,683537210,Rodovia BRig. Faria Lima,Km 315  SP 326,SP,3546504,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1822.5|1830|778|2130,1717.5|1727.5|1735|723|1940,0,Greenfield,sim,056001603518,16.15|11.96,25,65|74,-2,54,007591301882|031191601350|005851101882,20|40,-21.492611,-48.329722,2023-12-07,2003-09-09,2031-03-11,20240503,1,0.0,3.8128249999999997
TIM,50010613854,47102015|48352023|97812014,683537210,Rodovia BRig. Faria Lima,Km 315  SP 326,SP,3546504,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1822.5|1812.5|1830|778|2130,1727.5|1717.5|1735|723|1940,180,Greenfield,sim,056001603518,16.15|11.96,25,65|74,-2,54,007591301882|031191601350|005851101882,20|40,-21.492611,-48.329722,2023-12-07,2003-09-09,2031-03-11,20240503,3,180.0,3.8128249999999997
TIM,50010613854,47102015|16992008,689724861,"RUA DOS CAVICHIOLI,S/N,CENTRO",,SP,3546504,200KG7W|5M00G7W,GSM|LTE|WCDMA,957.5|1820|2135,955|1805|2125,60,Greenfield,sim,012720905344,13.5|16.1,20.0,68.00|65.00,7.00,58.0,000790401592|007591301882|005851101882,40|60|61.200,-21.46083,-48.395,2017-02-21,2007-11-20,2031-03-11|2023-04-30,20240503,1,60.0,3.8128249999999997
TIM,50010613854,47102015|16992008,689724861,"RUA DOS CAVICHIOLI,S/N,CENTRO",,SP,3546504,200KG7W|5M00G7W,GSM|LTE|WCDMA,957.5|1820|2135,955|1805|2125,150,Greenfield,sim,012720905344,13.5|16.1,20.0,68.00|65.00,7.00,58.0,000790401592|007591301882|005851101882,40|60|61.200,-21.46083,-48.395,2017-02-21,2007-11-20,2031-03-11|2023-04-30,20240503,2,150.0,3.8128249999999997
TIM,50010613854,47102015|16992008,689724861,"RUA DOS CAVICHIOLI,S/N,CENTRO",,SP,3546504,200KG7W|5M00G7W,GSM|LTE|WCDMA,957.5|1820|2135,955|1805|2125,330,Greenfield,sim,012720905344,13.5|16.1,20.0,68.00|65.00,7.00,58.0,000790401592|007591301882|005851101882,40|60|61.200,-21.46083,-48.395,2017-02-21,2007-11-20,2031-03-11|2023-04-30,20240503,4,330.0,3.8128249999999997
