NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|59592012,686136853,"AV GOVERNADOR DOUTOR PAULO SALIN MALUF, S/N, CENTRO",,SP,3554706,200KG7W|20M0G7W|10M0G7W|5M00G7W|5M00D7W,GSM|LTE|WCDMA,1880|2650|890|894,1870|2630|880|891.5,20,Greenfield,não,027331703519|012720905344,16.16|17.05|13.52,27.0|28.0|20.0,66.76|65.49|68.0,1.0,62.0|58.5,012111805894|056351705894|010641001882|039721705894,20.0|40.0|63.5|80.0,-22.43583,-48.17194,2013-06-17,2005-03-15,2028-03-31|2027-10-18,20240503,1,20.0,inf
CLARO,50409105090,46622011|59592012,686136853,"AV GOVERNADOR DOUTOR PAULO SALIN MALUF, S/N, CENTRO",,SP,3554706,200KG7W|20M0G7W|10M0G7W|5M00D7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|890|894,1870|2630|880|891.5,160,Greenfield,não,027331703519|012720905344,16.16|17.05|13.52,27.0|28.0|20.0,66.76|65.49|68.0,1.0,62.0|58.5,012111805894|056351705894|039721705894|010641001882,20.0|40.0|80.0|63.5,-22.43583,-48.17194,2013-06-17,2005-03-15,2028-03-31|2027-10-18,20240503,2,160.0,inf
CLARO,50409105090,46622011|59592012,686136853,"AV GOVERNADOR DOUTOR PAULO SALIN MALUF, S/N, CENTRO",,SP,3554706,200KG7W|20M0G7W|10M0G7W|5M00D7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|890|894,1870|2630|880|891.5,280,Greenfield,não,027331703519|012720905344,16.16|17.05|13.52,27.0|28.0|20.0,66.76|65.49|68.0,2.0,62.0|58.5,012111805894|056351705894|039721705894|010641001882,20.0|40.0|80.0|63.5,-22.43583,-48.17194,2013-06-17,2005-03-15,2028-03-31|2027-10-18,20240503,4,280.0,inf
