NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|97432014|48422023|48412023,687529204,RUA MAJOR JOÃO SOARES,,SP,3549508,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|788|1862.5|1867.5|2160,829.5|733|1767.5|1772.5|1970,30,Greenfield,não|sim,002000703518|005152003257,17.6|14|17.2|14.7|17.5,28|21|26|25,65|66|69|75.66|60.17,7|0|2,33.5|33,000910502519|048811903257|083071803257|000081201882|008041101882,32.5|40,-20.595003,-47.640561,2023-12-20,2005-10-05,2028-11-29|2029-12-08|2032-12-22|2038-04-30,20240103,1,30.0,inf
VIVO,50409146447,155832022|97432014|48422023|48412023,687529204,RUA MAJOR JOÃO SOARES,,SP,3549508,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|788|1862.5|1867.5|2160,829.5|733|1767.5|1772.5|1970,150,Greenfield,não|sim,002000703518|005152003257,17.6|14|17.2|14.7|17.5,28|21|26|25,65|66|69|75.66|60.17,6|0,33.5|33,000910502519|048811903257|083071803257|000081201882|008041101882,32.5|40,-20.595003,-47.640561,2023-12-20,2005-10-05,2028-11-29|2029-12-08|2032-12-22|2038-04-30,20240103,2,150.0,inf
VIVO,50409146447,155832022|97432014|48422023|48412023,687529204,RUA MAJOR JOÃO SOARES,,SP,3549508,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|788|1862.5|1867.5|2160,829.5|733|1767.5|1772.5|1970,260,Greenfield,não|sim,002000703518|005152003257,17.6|14|17.2|14.7|17.5,28|21|26|25,65|66|69|75.66|60.17,7|0,33.5|33,000910502519|048811903257|083071803257|000081201882|008041101882,32.5|40,-20.595003,-47.640561,2023-12-20,2005-10-05,2028-11-29|2029-12-08|2032-12-22|2038-04-30,20240103,3,260.0,inf
