NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,155832022|97432014,396723241,ESTRADA SEBASTIÃO TEIXEIRA COELHO,"KM 2, SUBESTAÇÃO CPFL SÃO PEDRO DO TURVO",SP,3550506,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|890.75|788,829.5|845.75|733,90,,,038801200762|024731703257|002000703518,17.8|15.5|14.7,25,65|63.3|75.66,6|2|3,46.5|49|50,002690300811|048811903257|010641001882,32.5|40,-22.764167,-49.723889,2023-12-13,1999-12-10,2028-11-29|2029-12-08,20240103,2,90.0,inf
VIVO,50409146447,155832022|97432014,396723241,ESTRADA SEBASTIÃO TEIXEIRA COELHO,"KM 2, SUBESTAÇÃO CPFL SÃO PEDRO DO TURVO",SP,3550506,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|890.75|788,829.5|845.75|733,210,,,038801200762|024731703257|002000703518,17.8|15.5|14.7,25,65|63.3|75.66,6|2|3,46.5|49|50,002690300811|048811903257|010641001882,32.5|40,-22.764167,-49.723889,2023-12-13,1999-12-10,2028-11-29|2029-12-08,20240103,3,210.0,inf
VIVO,50409146447,155832022|97432014,396723241,ESTRADA SEBASTIÃO TEIXEIRA COELHO,"KM 2, SUBESTAÇÃO CPFL SÃO PEDRO DO TURVO",SP,3550506,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,874.5|890.75|788,829.5|845.75|733,330,,,038801200762|024731703257|002000703518,17.8|15.5|14.7,25,65|63.3|75.66,6|2|3,46.5|49|50,002690300811|048811903257|010641001882,32.5|40,-22.764167,-49.723889,2023-12-13,1999-12-10,2028-11-29|2029-12-08,20240103,4,330.0,inf
