NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|59592012,685076709,"R FRANCISCO ALVES NEGRÃO, 435, J. SÃO PEDRO",,SP,3521705,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,955|1880|2630|2650|890,952.5|1870|2620|2630|880,20,Greenfield,não,012720905344|027331703519,13.52|16.16|17.05|14.1,20.0|27.0|28.0|25.0,68.0|66.76|65.49|66.56,2.0,60.0|70.0,037621705894|012111805894|056351705894|039721705894,19.95|20.0|40.0|80.0,-23.86944,-49.14167,2005-06-28,2004-12-30,2028-03-31|2027-10-18,20240503,1,20.0,inf
CLARO,50409105090,46622011|59592012,685076709,"R FRANCISCO ALVES NEGRÃO, 435, J. SÃO PEDRO",,SP,3521705,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2630|2650|890,1870|2620|2630|880,120,Greenfield,não,027331703519,16.16|17.05|14.1,27.0|28.0|25.0,66.76|65.49|66.56,2.0,70.0,012111805894|056351705894|039721705894,20.0|40.0|80.0,-23.86944,-49.14167,2005-06-28,2004-12-30,2028-03-31|2027-10-18,20240503,2,120.0,inf
CLARO,50409105090,46622011|59592012,685076709,"R FRANCISCO ALVES NEGRÃO, 435, J. SÃO PEDRO",,SP,3521705,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2630|2650|890,1870|2620|2630|880,240,Greenfield,não,027331703519,16.16|17.05|14.1,27.0|28.0|25.0,66.76|65.49|66.56,2.0,70.0,012111805894|056351705894|039721705894,20.0|40.0|80.0,-23.86944,-49.14167,2005-06-28,2004-12-30,2028-03-31|2027-10-18,20240503,3,240.0,inf
