NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,97812014,1011982541,Rodovia Transbrasiliana,Km 130,SP,3555356,10M0G7W,LTE,778,723,30,,,056001603518,11.96,25,74,-2,40,057731705894,40,-21.254627,-49.758052,2021-11-13,2021-05-25,2029-12-08,20240503,1,30.0,5.321104999999999
TIM,50010613854,97812014,1011982541,Rodovia Transbrasiliana,Km 130,SP,3555356,10M0G7W,LTE,778,723,215,,,056001603518,11.96,25,74,-2,40,057731705894,40,-21.254627,-49.758052,2021-11-13,2021-05-25,2029-12-08,20240503,3,215.0,5.321104999999999
TIM,50010613854,97812014,1011982541,Rodovia Transbrasiliana,Km 130,SP,3555356,10M0G7W,LTE,778,723,340,,,056001603518,11.96,25,74,-3,40,057731705894,40,-21.254627,-49.758052,2021-11-13,2021-05-25,2029-12-08,20240503,4,340.0,5.321104999999999
TIM,50010613854,47102015|48352023|97812014,689603509,RUA JOSÉ VIRGINO DOS SANTOS     ,,SP,3555356,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1822.5|1830|956.25|778|2130,1717.5|1727.5|1735|911.25|723|1940,30,Greenfield,,056001603518,16.15|11.96,25,65|74,-7,53,007591301882|016081103903|057731705894|008041101882,20|40,-21.166689,-49.716672,2024-03-18,2007-10-15,2031-03-11|2038-04-30|2029-12-08,20240503,1,30.0,5.321104999999999
TIM,50010613854,47102015|48352023|97812014,689603509,RUA JOSÉ VIRGINO DOS SANTOS     ,,SP,3555356,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1822.5|1830|956.25|778|2130,1717.5|1727.5|1735|911.25|723|1940,200,Greenfield,,056001603518,16.15|11.96,25,65|74,-7,53,007591301882|016081103903|057731705894|008041101882,20|40,-21.166689,-49.716672,2024-03-18,2007-10-15,2031-03-11|2038-04-30|2029-12-08,20240503,3,200.0,5.321104999999999
TIM,50010613854,47102015|48352023|97812014,689603509,RUA JOSÉ VIRGINO DOS SANTOS     ,,SP,3555356,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1812.5|1822.5|1830|956.25|778|2130,1717.5|1727.5|1735|911.25|723|1940,290,Greenfield,,056001603518,16.15|11.96,25,65|74,-7,53,007591301882|016081103903|057731705894|008041101882,20|40,-21.166689,-49.716672,2024-03-18,2007-10-15,2031-03-11|2038-04-30|2029-12-08,20240503,4,290.0,5.321104999999999
