NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,59072012|48422023|97432014|48412023|155832022,1007751743,Rua Hermenegildo Lopes Pedroso,Residêncial Alfhaville,SP,3500105,20M0G7W|5M00G7W|10M0G7W,LTE|WCDMA,2680|1862.5|1867.5|788|2160|874.5,2560|1767.5|1772.5|733|1970|829.5,120,Greenfield,não|sim,056001603518,17.5|14.2|17.4|14.7,25,62|70|68,2|0,50,006091702519|048811903257|027191702519|039721705894,40,-21.680453,-51.062936,2023-11-27,2018-12-05,2027-10-18|2032-12-22|2029-12-08|2038-04-30|2028-11-29,20240103,2,120.0,0.6764450000000001
VIVO,50409146447,59072012|48422023|97432014|48412023|155832022,1007751743,Rua Hermenegildo Lopes Pedroso,Residêncial Alfhaville,SP,3500105,20M0G7W|5M00G7W|10M0G7W,LTE|WCDMA,2680|1862.5|1867.5|788|2160|874.5,2560|1767.5|1772.5|733|1970|829.5,210,Greenfield,não|sim,056001603518,17.5|14.2|17.4|14.7,25,62|70|68,2|0,50,006091702519|048811903257|027191702519|039721705894,40,-21.680453,-51.062936,2023-11-27,2018-12-05,2027-10-18|2032-12-22|2029-12-08|2038-04-30|2028-11-29,20240103,3,210.0,0.6764450000000001
VIVO,50409146447,59072012|48422023|97432014|48412023|155832022,1007751743,Rua Hermenegildo Lopes Pedroso,Residêncial Alfhaville,SP,3500105,20M0G7W|5M00G7W|10M0G7W,LTE|WCDMA,2680|1862.5|1867.5|788|2160|874.5,2560|1767.5|1772.5|733|1970|829.5,330,Greenfield,não|sim,056001603518,17.5|14.2|17.4|14.7,25,62|70|68,2|0,50,006091702519|048811903257|027191702519|039721705894,40,-21.680453,-51.062936,2023-11-27,2018-12-05,2027-10-18|2032-12-22|2029-12-08|2038-04-30|2028-11-29,20240103,4,330.0,0.6764450000000001
VIVO,50409146447,48422023|155832022|97432014|59072012|166262022,403101352,RUA EUCLIDES DA CUNHA,RBR-NÃO,SP,3500105,200KG7W|5M00G7W|10M0G7W|20M0G7W,GSM|LTE,1862.5|890.75|1867.5|874.5|788|2680|2150,1767.5|845.75|1772.5|829.5|733|2560|1960,10|15,Rooftop|Greenfield,não|sim,012720905344|056001603518,17|15.8|15|16,25,68|67|66,6|2,47|53|20,005311101882|000910502519|083071803257|048811903257|058221803257,13.3|14.5|40,-21.685517,-51.074833,2023-09-26,1999-12-10,2032-12-22|2028-11-29|2029-12-08|2027-10-18,20240103,1,15.0,0.6764450000000001
VIVO,50409146447,48422023|155832022|97432014|59072012|166262022,403101352,RUA EUCLIDES DA CUNHA,RBR-NÃO,SP,3500105,200KG7W|5M00G7W|10M0G7W|20M0G7W,GSM|LTE,1862.5|1867.5|890.75|874.5|788|2680|2150,1767.5|1772.5|845.75|829.5|733|2560|1960,110|135,Rooftop|Greenfield,não|sim,012720905344|056001603518|030332003257,17|15.8|15|16|17.3,25,68|67|66|34,6|8|2,47|53|20,005311101882|000910502519|083071803257|048811903257|058221803257,13.3|14.5|40,-21.685517,-51.074833,2023-09-26,1999-12-10,2032-12-22|2028-11-29|2029-12-08|2027-10-18,20240103,2,135.0,0.6764450000000001
VIVO,50409146447,48422023|155832022|97432014|59072012|166262022,403101352,RUA EUCLIDES DA CUNHA,RBR-NÃO,SP,3500105,200KG7W|5M00G7W|10M0G7W|20M0G7W,GSM|LTE,1867.5|874.5|890.75|1862.5|788|2680|2150,1772.5|829.5|845.75|1767.5|733|2560|1960,250|260,Rooftop|Greenfield,não|sim,012720905344|056001603518,17|15.8|15|16,25,68|67|66,3|5|2,47|53|20,005311101882|000910502519|083071803257|048811903257|058221803257,13.3|14.5|40,-21.685517,-51.074833,2023-09-26,1999-12-10,2032-12-22|2028-11-29|2029-12-08|2027-10-18,20240103,3,260.0,0.6764450000000001
VIVO,50409146447,48412023,691929785,AVENIDA RIO BRANCO,,SP,3500105,5M00G7W,WCDMA,2160,1970,360,,,026000900324,19,28,60,2,45,008041101882,40,-21.670633,-51.085594,2023-12-28,2010-02-01,2028-11-29,20240103,0,360.0,0.99453
VIVO,50409146447,48422023|155832022|48412023|166262022|59072012|97432014,691929785,AVENIDA RIO BRANCO,,SP,3500105,200KG7W|5M00G7W|10M0G7W|20M0G7W,GSM|WCDMA|LTE,1862.5|890.75|874.5|2160|2150|2680|788|1867.5|1855,1767.5|845.75|829.5|1970|1960|2560|733|1772.5|1760,100|115|120,Greenfield,não|sim,038801200762|002000703518|056001603518,17.8|15.1|14.5|17.1|17.7|17,25|27|28|26|24,65|64|69|58|62,2|0|1,47|45|43|44,011691101882|000910502519|008041101882|000081201882|083071803257|058221803257|048811903257,10|14.5|40,-21.670633,-51.085594,2023-12-28,2010-02-01,2028-11-29,20240103,2,115.0,0.99453
VIVO,50409146447,48422023|155832022|59072012|97432014|166262022|48412023,691929785,AVENIDA RIO BRANCO,,SP,3500105,200KG7W|5M00G7W|20M0G7W|10M0G7W,GSM|WCDMA|LTE,1862.5|890.75|874.5|2680|788|1867.5|1855|2150|2160,1767.5|845.75|829.5|2560|733|1772.5|1760|1960|1970,180|190|195|200,Greenfield,não|sim,038801200762|002000703518|056001603518|026000900324,17.8|14.5|17.7|17|17.1|19,25|28|26|24|27,65|58|62|69|60,2|0,47|45|44|43,011691101882|000910502519|000081201882|058221803257|083071803257|048811903257|008041101882,10|14.5|40,-21.670633,-51.085594,2023-12-28,2010-02-01,2028-11-29,20240103,3,190.0,0.99453
VIVO,50409146447,166262022|48412023|155832022|48422023|59072012|97432014,691929785,AVENIDA RIO BRANCO,,SP,3500105,10M0G7W|200KG7W|20M0G7W|5M00G7W,LTE|GSM|WCDMA,2150|2160|874.5|890.75|1862.5|2680|788|1867.5|1855,1960|1970|829.5|845.75|1767.5|2560|733|1772.5|1760,330|340,Greenfield,não|sim,056001603518|038801200762|002000703518,17.1|17.8|17.7|17|14.5,27|25|28|26|24,69|65|58|62,1|2|0,43|47|44|45,083071803257|000910502519|011691101882|058221803257|048811903257|000081201882,40|14.5|10,-21.670633,-51.085594,2023-12-28,2010-02-01,2028-11-29,20240103,4,340.0,0.99453
