NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|59592012|48372023|34672011,690659202,R TIRADENTES,,SP,3544608,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2117.5|2140|885,1780|2520|1927.5|1950|840,20,,,056001603518,14.3|14.5|14.7|14,25|23,65|59|53|62,2,68,040952002519|043341501882|008881101882,60|40|72.44,-21.45879,-49.57854,2023-06-21,2008-09-29,2028-03-31,20240503,1,20.0,inf
CLARO,50409105090,46622011|59592012|48372023|34672011,690659202,R TIRADENTES,,SP,3544608,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2117.5|2140|885,1780|2520|1927.5|1950|840,130,,,056001603518,14.3|14.5|14.7|14,25|23,65|59|53|62,0,68,040952002519|043341501882|008881101882,60|40|72.44,-21.45879,-49.57854,2023-06-21,2008-09-29,2028-03-31,20240503,2,130.0,inf
CLARO,50409105090,46622011|59592012|48372023|34672011,690659202,R TIRADENTES,,SP,3544608,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2117.5|2140|885,1780|2520|1927.5|1950|840,250,,,056001603518,14.3|14.5|14.7|14,25|23,65|59|53|62,1,68,040952002519|043341501882|008881101882,60|40|72.44,-21.45879,-49.57854,2023-06-21,2008-09-29,2028-03-31,20240503,3,250.0,inf
