NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|155832022|97432014|59072012|48412023,399678484,RUA GERALDO GOUVEIA,,SP,3526308,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1862.5|874.5|890.75|1867.5|788|2680|2160,1767.5|829.5|845.75|1772.5|733|2560|1970,20,Greenfield,não|sim,038801200762|024731703257,17.8|15.5|16.1|14.9|15.3|15.8,25|24,65|63.3|60|63|62|61.3,1|0,25|32,006030301882|000910502519|048811903257|058221803257|083071803257|008041101882|000081201882,35.5|14.5|40,-23.092994,-45.185331,2023-12-14,1999-12-10,2032-12-22|2028-11-29|2029-12-08|2027-10-18|2038-04-30,20240103,1,20.0,inf
VIVO,50409146447,97432014|59072012|48422023|48412023|155832022,399678484,RUA GERALDO GOUVEIA,,SP,3526308,10M0G7W|20M0G7W|5M00G7W|200KG7W,LTE|WCDMA|GSM,788|2680|1867.5|1862.5|2160|874.5|890.75,733|2560|1772.5|1767.5|1970|829.5|845.75,215|230,Greenfield,não|sim,024731703257|038801200762,15.5|16.1|14.9|15.3|15.8|17.8,25|24,63.3|60|63|62|61.3|65,1,32|25,048811903257|058221803257|083071803257|008041101882|000081201882|006030301882|000910502519,40|35.5|14.5,-23.092994,-45.185331,2023-12-14,1999-12-10,2029-12-08|2027-10-18|2032-12-22|2038-04-30|2028-11-29,20240103,3,215.0,inf
VIVO,50409146447,97432014|59072012|48422023|48412023|155832022,399678484,RUA GERALDO GOUVEIA,,SP,3526308,10M0G7W|20M0G7W|5M00G7W|200KG7W,LTE|WCDMA|GSM,788|2680|1867.5|1862.5|2160|874.5|890.75,733|2560|1772.5|1767.5|1970|829.5|845.75,300|310,Greenfield,não|sim,024731703257|038801200762,15.5|16.1|14.9|15.3|15.8|17.8,25|24,63.3|60|63|62|61.3|65,0|1,32|25,048811903257|058221803257|083071803257|008041101882|000081201882|006030301882|000910502519,40|15.8|14.5,-23.092994,-45.185331,2023-12-14,1999-12-10,2029-12-08|2027-10-18|2032-12-22|2038-04-30|2028-11-29,20240103,4,300.0,inf
