NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|97432014|166262022,687528046,RUA ROBERTO MARÓSTICA,,SP,3554409,5M00G7W|10M0G7W,LTE,1867.5|788|1855,1772.5|733|1760,100,Greenfield,sim,0,17.4|15,23|21,69|70.7,1,60,083071803257|048811903257,40,-20.790833,-48.334444,2023-07-26,2005-10-05,2023-08-05,2,100.0,inf
VIVO,50409146447,48422023|97432014|166262022,687528046,RUA ROBERTO MARÓSTICA,,SP,3554409,5M00G7W|10M0G7W,LTE,1867.5|788|1855,1772.5|733|1760,230,Greenfield,sim,0,17.4|15,23|21,69|70.7,1,60,083071803257|048811903257,40,-20.790833,-48.334444,2023-07-26,2005-10-05,2023-08-05,3,230.0,inf
VIVO,50409146447,48422023|97432014|166262022,687528046,RUA ROBERTO MARÓSTICA,,SP,3554409,5M00G7W|10M0G7W,LTE,1867.5|788|1855,1772.5|733|1760,350,Greenfield,sim,0,17.4|15,23|21,69|70.7,0,60,083071803257|048811903257,40,-20.790833,-48.334444,2023-07-26,2005-10-05,2023-08-05,4,350.0,inf
