NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|41662008|97432014|166262022|48412023,536375020,RODOVIA ANTÔNIO MACHADO SANT'ANA,KM 42 SP 255,SP,3518859,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1867.5|874.5|1862.5|890.75|788|1855|2150|2160,1772.5|829.5|1767.5|845.75|733|1760|1960|1970,20|30,,,014040601705|005200301293|005152003257,16.5|15.5|14|17.2|17.3|14.1,28|34|21|26|25|22,66|65|69|68,6|1,55,011691101882|005311101882|000910502519|048811903257|083071803257|010641001882,73.9|65.7|35|40,-21.553744,-47.940408,2023-07-23,2000-12-22,2032-12-22|2024-01-20|2029-12-08|2038-04-30,20240103,1,20.0,5.953545
VIVO,50409146447,41662008|48422023|97432014|166262022|48412023,536375020,RODOVIA ANTÔNIO MACHADO SANT'ANA,KM 42 SP 255,SP,3518859,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,890.75|874.5|1862.5|1867.5|788|1855|2150|2160,845.75|829.5|1767.5|1772.5|733|1760|1960|1970,90|150,,,005200301293|014040601705|005152003257,15.5|16.5|14|17.2|17.3|14.1,34|28|21|26|25|22,65|66|69|68,6|1,55,000910502519|011691101882|005311101882|048811903257|083071803257|010641001882,35|73.9|65.7|40,-21.553744,-47.940408,2023-07-23,2000-12-22,2024-01-20|2032-12-22|2029-12-08|2038-04-30,20240103,2,90.0,5.953545
VIVO,50409146447,48422023|41662008|97432014|166262022|48412023,536375020,RODOVIA ANTÔNIO MACHADO SANT'ANA,KM 42 SP 255,SP,3518859,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1867.5|890.75|874.5|1862.5|788|1855|2150|2160,1772.5|845.75|829.5|1767.5|733|1760|1960|1970,210|240,,,005200301293|014040601705|005152003257,15.5|16.5|14|17.2|17.3|14.1,34|28|21|26|25|22,65|66|69|68,6|0,55,005311101882|011691101882|000910502519|048811903257|083071803257|010641001882,65.7|73.9|35|40,-21.553744,-47.940408,2023-07-23,2000-12-22,2032-12-22|2024-01-20|2029-12-08|2038-04-30,20240103,3,210.0,5.953545
VIVO,50409146447,48422023|41662008|97432014|59072012|48412023,633046,RUA DOS OLEANDROS,,SP,3518859,200KG7W|10M0G7W|20M0G7W|5M00G7W|5M00G9W,GSM|LTE|WCDMA,1867.5|874.5|890.75|1862.5|788|2680|2160,1772.5|829.5|845.75|1767.5|733|2560|1970,110,Greenfield,não|sim,002000703518|056001603518,17.6|11.14|14.36,28|25,65|76.69|69.24,2|1|0,22.1|26.8|25|28,005311101882|000910502519|048811903257|058221803257|083071803257|016041001882|000081201882,66.8|35|59.98|40|80|60|83.95,-21.497394,-48.038297,2023-12-12,2001-03-13,2032-12-22|2024-01-20|2029-12-08|2027-10-18|2038-04-30,20240103,2,110.0,5.953545
VIVO,50409146447,48422023|41662008|97432014|59072012|48412023,633046,RUA DOS OLEANDROS,,SP,3518859,200KG7W|10M0G7W|20M0G7W|5M00G7W|5M00G9W,GSM|LTE|WCDMA,1867.5|874.5|1862.5|890.75|788|2680|2160,1772.5|829.5|1767.5|845.75|733|2560|1970,230|250,Greenfield,não|sim,002000703518|056001603518,17.6|11.14|14.36,28|25,65|76.69|69.24,2|0,22.1|26.8|30|28,005311101882|000910502519|048811903257|058221803257|083071803257|000081201882|016041001882,66.8|35|59.98|40|80|83.95|60,-21.497394,-48.038297,2023-12-12,2001-03-13,2032-12-22|2024-01-20|2029-12-08|2027-10-18|2038-04-30,20240103,3,250.0,5.953545
VIVO,50409146447,97432014|59072012|48422023|48412023|41662008,633046,RUA DOS OLEANDROS,,SP,3518859,10M0G7W|20M0G7W|5M00G7W|5M00G9W|200KG7W,LTE|WCDMA|GSM,788|2680|1862.5|1867.5|2160|874.5|890.75,733|2560|1767.5|1772.5|1970|829.5|845.75,340|350,Greenfield,não|sim,056001603518|002000703518,11.14|14.36|17.6,25|28,76.69|69.24|65,0|2,30|24|26.8|22.1,048811903257|058221803257|083071803257|016041001882|000081201882|005311101882|000910502519,59.98|40|80|60|83.95|66.8|35,-21.497394,-48.038297,2023-12-12,2001-03-13,2029-12-08|2027-10-18|2032-12-22|2038-04-30|2024-01-20,20240103,4,340.0,5.953545
