NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|97812014|48352023|48392023,682880256,RUA MACHADO DE ASSIS,LOTE 28 QUADRA E,SP,3507100,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1812.5|1832.5|778|2117.5|956.25|958.75,1717.5|1737.5|723|1927.5|911.25|913.75,130,Greenfield,sim,000150201293|026000900324,11|16.8|13.3,25,88|71.4|70.1,0,65,032121203903|031191601350|005851101882|000131201882,20|40,-23.130333,-46.472778,2024-02-26,2002-11-25,2031-03-11|2029-12-08|2038-04-30|2028-04-01,20240503,2,130.0,inf
TIM,50010613854,47102015|97812014|48352023|48392023,682880256,RUA MACHADO DE ASSIS,LOTE 28 QUADRA E,SP,3507100,200KG7W|5M00G7W|10M0G7W|2M50G7W,GSM|LTE|WCDMA,1812.5|1832.5|778|2117.5|956.25|958.75,1717.5|1737.5|723|1927.5|911.25|913.75,320,Greenfield,sim,000150201293|026000900324,11|13.3|16.8,25,88|70.1|71.4,0,65,032121203903|031191601350|005851101882|000131201882,20|40,-23.130333,-46.472778,2024-02-26,2002-11-25,2031-03-11|2029-12-08|2038-04-30|2028-04-01,20240503,4,320.0,inf
