NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,97692014,684915170,ROD ABRAAO ASSED,,SP,3546256,10M0G7W,LTE,798,743,20,,,,13.4,21,68,-2,71.5,057731705894,80,-21.28992,-47.42289,2024-03-12,2004-12-09,2029-12-08,20240503,1,20.0,inf
CLARO,50409105090,46622011|29332016|59592012|97692014,684915170,ROD ABRAAO ASSED,,SP,3546256,200KG7W|10M0G7W|20M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|2625|2640|798|885|892.75,1780|2505|2520|743|840|847.75,100,Greenfield,não,,16.5|17.6|13.4|13.8,21|23,66|51|68,-2,71.5,012111805894|056351705894|057731705894|039721705894,20|40|80,-21.28992,-47.42289,2024-03-12,2004-12-09,2028-03-31|2031-08-29|2027-10-18|2029-12-08,20240503,2,100.0,inf
CLARO,50409105090,46622011|29332016|59592012|97692014,684915170,ROD ABRAAO ASSED,,SP,3546256,200KG7W|10M0G7W|20M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|2625|2640|798|885|892.75,1780|2505|2520|743|840|847.75,260,Greenfield,não,,16.5|17.6|13.4|13.8,21|23,66|51|68,-2,71.5,012111805894|056351705894|057731705894|039721705894,20|40|80,-21.28992,-47.42289,2024-03-12,2004-12-09,2028-03-31|2031-08-29|2027-10-18|2029-12-08,20240503,3,260.0,inf
