NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014,686138414,R CORONEL JOSE LEOPOLDINO,,SP,3513900,200KG7W|10M0G7W,GSM|LTE,1875|798,1780|743,80,Greenfield,não,056001603518,14.3|13,25|23,65|67,0,51,006091702519|057731705894,79.43|80,-21.66,-46.73722,2022-08-12,2005-03-15,2028-03-31|2029-12-08,20240503,1,80.0,inf
CLARO,50409105090,46622011|97692014,686138414,R CORONEL JOSE LEOPOLDINO,,SP,3513900,200KG7W|10M0G7W,GSM|LTE,1875|798,1780|743,260,Greenfield,não,056001603518,14.3|13,25|23,65|67,0,51,006091702519|057731705894,79.43|80,-21.66,-46.73722,2022-08-12,2005-03-15,2028-03-31|2029-12-08,20240503,3,260.0,inf
