NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
TIM,50010613854,47102015|29272013|97812014|16992008,685031918,RUA 9 DE JULHO 739 ,,SP,3538501,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,957.5|1820|1825|1832.5|783|2135,955|1805|1820|1827.5|773|2125,10,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,56,000131201882|003831301882|031191601350|008041101882,85|80|40,-22.60667,-45.19056,2019-12-04,2005-01-05,2031-03-11|2023-04-30|2029-12-08,20240503,1,10.0,inf
TIM,50010613854,47102015|29272013|97812014|16992008,685031918,RUA 9 DE JULHO 739 ,,SP,3538501,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,957.5|1820|1825|1832.5|783|2135,955|1805|1820|1827.5|773|2125,120,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,56,000131201882|003831301882|031191601350|008041101882,85|80|40,-22.60667,-45.19056,2019-12-04,2005-01-05,2031-03-11|2023-04-30|2029-12-08,20240503,2,120.0,inf
TIM,50010613854,47102015|29272013|97812014|16992008,685031918,RUA 9 DE JULHO 739 ,,SP,3538501,200KG7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,957.5|1820|1825|1832.5|783|2135,955|1805|1820|1827.5|773|2125,180,Greenfield,não,056001603518,11.96|16.15,25,74|65,7,56,037261101882|003831301882|031191601350|008041101882,86.9|80|40,-22.60667,-45.19056,2019-12-04,2005-01-05,2031-03-11|2023-04-30|2029-12-08,20240503,3,180.0,inf
