NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011,1015192936,R MARIA AZEVEDO DA CUNHA CARRARO,PÇ AVELINO JOSÉ DE LIMA,SP,3504909,200KG7W|10M0G7W|2M50G7W,GSM|LTE,885|892.75,840|847.75,45,,,056001603518,14.4,25,68,0,9,039721705894,80,-22.67369,-44.20011,2023-08-28,2023-08-28,2028-03-31,20240503,1,45.0,6.388645
CLARO,50409105090,46622011|97692014|29332016|59592012|16952008,686705645,"ESTRADA DO BANANAL, S/N, CENTRO",,SP,3504909,200KG7W|10M0G7W|20M0G7W|5M00G7W|5M00G9W,GSM|LTE|WCDMA,1880|803|2630|2650|2125|890,1870|793|2620|2630|2110|880,60,Greenfield,não,027331703519|009371303519,16.16|14.1|17.05|17.08|14.89,27.0|25.0|28.0|30.0,66.76|66.56|65.49|72.66|65.28,4.0,40.5,012111805894|057731705894|056351705894|027191702519|010641001882|039721705894|018151001882,20.0|40.0|80.0|60.0|63.5|60.2,-22.67444,-44.32444,2020-04-15,2005-05-12,2028-03-31|2029-12-08|2027-10-18|2023-04-30,20240503,1,60.0,6.388645
CLARO,50409105090,46622011|97692014|29332016|59592012|16952008,686705645,"ESTRADA DO BANANAL, S/N, CENTRO",,SP,3504909,200KG7W|10M0G7W|20M0G7W|5M00G7W|5M00G9W,GSM|LTE|WCDMA,1880|803|2630|2650|2125|890,1870|793|2620|2630|2110|880,120,Greenfield,não,027331703519|009371303519,16.16|14.1|17.05|17.08|14.89,27.0|25.0|28.0|30.0,66.76|66.56|65.49|72.66|65.28,4.0,40.5,012111805894|057731705894|056351705894|027191702519|010641001882|039721705894|018151001882,20.0|40.0|80.0|60.0|63.5|60.2,-22.67444,-44.32444,2020-04-15,2005-05-12,2028-03-31|2029-12-08|2027-10-18|2023-04-30,20240503,2,120.0,6.388645
CLARO,50409105090,46622011|97692014|29332016|59592012|16952008,686705645,"ESTRADA DO BANANAL, S/N, CENTRO",,SP,3504909,200KG7W|10M0G7W|20M0G7W|5M00G7W|5M00G9W,GSM|LTE|WCDMA,1880|803|2630|2650|2125|890,1870|793|2620|2630|2110|880,180,Greenfield,não,027331703519|009371303519,16.16|14.1|17.05|17.08|14.89,27.0|25.0|28.0|30.0,66.76|66.56|65.49|72.66|65.28,4.0,40.5,012111805894|057731705894|056351705894|027191702519|039721705894|010641001882|018151001882,20.0|40.0|80.0|60.0|63.5|60.2,-22.67444,-44.32444,2020-04-15,2005-05-12,2028-03-31|2029-12-08|2027-10-18|2023-04-30,20240503,3,180.0,6.388645
