NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014,1003431418,AV 15 DE NOVEMBRO,,SP,3542305,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|798|885|892.75,1780|743|840|847.75,30,,,,16.5|13.4|13.8,21|23,66|68,-2,31.5,047451501882|033782402519|008881101882,40|79.43|72.44,-23.2826,-45.5329,2024-04-03,2016-11-01,2028-03-31|2029-12-08,20240503,1,30.0,inf
CLARO,50409105090,46622011|97692014,1003431418,AV 15 DE NOVEMBRO,,SP,3542305,200KG7W|10M0G7W|5M00G7W|2M50G7W,GSM|LTE|WCDMA,1875|798|885|892.75,1780|743|840|847.75,190,,,,16.5|13.4|13.8,21|23,66|68,-2,31.5,047451501882|033782402519|008881101882,40|79.43|72.44,-23.2826,-45.5329,2024-04-03,2016-11-01,2028-03-31|2029-12-08,20240503,3,190.0,inf
CLARO,50409105090,46622011|97692014,1003431418,AV 15 DE NOVEMBRO,,SP,3542305,200KG7W|10M0G7W|2M50G7W|5M00G7W,GSM|LTE|WCDMA,1875|798|892.75|885,1780|743|847.75|840,300,,,,16.5|13.4|13.8,21|23,66|68,-2,31.5,047451501882|033782402519|008881101882,40|79.43|72.44,-23.2826,-45.5329,2024-04-03,2016-11-01,2028-03-31|2029-12-08,20240503,4,300.0,inf
