NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|59592012|48372023|34672011,690810695,R RUBENS ALVES DE OLIVEIRA,,SP,3555505,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2117.5|2140|885,1780|2520|1927.5|1950|840,30,Greenfield,,027331703519,16.16|17.05|14.1,27|28|26|25,66.76|65.49|66.56,0,50,012111805894|056351705894|027191702519|039721705894,20|40|60|80,-22.52794,-49.65797,2023-06-20,2008-10-20,2028-03-31,20240503,1,30.0,inf
CLARO,50409105090,46622011|59592012|48372023|34672011,690810695,R RUBENS ALVES DE OLIVEIRA,,SP,3555505,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2117.5|2140|885,1780|2520|1927.5|1950|840,150,Greenfield,,027331703519,16.16|17.05|14.1,27|28|26|25,66.76|65.49|66.56,0,50,012111805894|056351705894|027191702519|039721705894,20|40|60|80,-22.52794,-49.65797,2023-06-20,2008-10-20,2028-03-31,20240503,2,150.0,inf
CLARO,50409105090,46622011|59592012|48372023|34672011,690810695,R RUBENS ALVES DE OLIVEIRA,,SP,3555505,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1875|2640|2117.5|2140|885,1780|2520|1927.5|1950|840,290,Greenfield,,027331703519,16.16|17.05|14.1,27|28|26|25,66.76|65.49|66.56,0,50,012111805894|056351705894|027191702519|039721705894,20|40|60|80,-22.52794,-49.65797,2023-06-20,2008-10-20,2028-03-31,20240503,4,290.0,inf
