NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,59592012|29332016|16952008|46622011,442517351,"R DOIS, LOTE 85 QUADRA 91, CENTRO",,SP,3515152,20M0G7W|10M0G7W|5M00G7W|200KG7W,LTE|WCDMA|GSM,2650|2630|2125|894|890|1880,2630|2620|2110|891.5|880|1870,0|10,Greenfield,não,008541105344|012720905344|000430301705|012740905344,16.85|16.18|13.52|14.0|16.6,33.74|20.0|25.0|30.45,67.81|65.0|68.0|90.0|82.86,5.0|3.0|0.0|1.0,30.0|31.0|26.5,043341501882|005801101882|008851101882|006030301882,40.0|60.81|68.23|35.5,-22.49111,-47.21667,2017-03-29,2000-08-16,2027-10-18|2023-04-30|2028-03-31,20240503,1,0.0,inf
CLARO,50409105090,46622011|59592012|29332016|16952008,442517351,"R DOIS, LOTE 85 QUADRA 91, CENTRO",,SP,3515152,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2650|2630|2125|894|890,1870|2630|2620|2110|891.5|880,100|110,Greenfield,não,012740905344|008541105344|012720905344,16.6|16.85|16.18|13.52,30.45|33.74|20.0,82.86|67.81|65.0|68.0,2.0|8.0,26.5|30.0|31.0,006030301882|043341501882|005801101882|008851101882,35.5|40.0|60.81|68.23,-22.49111,-47.21667,2017-03-29,2000-08-16,2028-03-31|2027-10-18|2023-04-30,20240503,2,105.0,inf
CLARO,50409105090,16952008|46622011|59592012|29332016,442517351,"R DOIS, LOTE 85 QUADRA 91, CENTRO",,SP,3515152,5M00G7W|200KG7W|20M0G7W|10M0G7W,WCDMA|GSM|LTE,2125|894|890|1880|2650|2630,2110|891.5|880|1870|2630|2620,250|260,Greenfield,não,012720905344|012740905344|008541105344,16.18|13.52|16.6|16.85,20.0|30.45|33.74,65.0|68.0|82.86|67.81,2.0|5.0,31.0|26.5|30.0,005801101882|008851101882|006030301882|043341501882,60.81|68.23|35.5|40.0,-22.49111,-47.21667,2017-03-29,2000-08-16,2023-04-30|2028-03-31|2027-10-18,20240503,3,255.0,inf
