NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,41662008,413164004,"RUA MARIA AMELIA DE CASTRO,S/N,-",,SP,3551207,200KG7W,GSM,891.5|880,890|869,96,,,120601AVU00215,15.6,20.0,120.00,.00,30.0,009180401065,10.000,-23.27528,-49.47639,2008-08-15,1999-12-13,2024-01-20,20240103,2,96.0,inf
VIVO,50409146447,41662008,413164004,"RUA MARIA AMELIA DE CASTRO,S/N,-",,SP,3551207,200KG7W,GSM,880|891.5,869|890,180,,,120601AVU00215,15.6,20.0,120.00,.00,30.0,009180401065,10.000,-23.27528,-49.47639,2008-08-15,1999-12-13,2024-01-20,20240103,3,180.0,inf
VIVO,50409146447,41662008,413164004,"RUA MARIA AMELIA DE CASTRO,S/N,-",,SP,3551207,200KG7W,GSM,880|891.5,869|890,359,,,005380301537,13.0,23.0,45.22,.00,15.0,009180401065,10.000,-23.27528,-49.47639,2008-08-15,1999-12-13,2024-01-20,20240103,4,359.0,inf
