NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,97432014|48422023|166262022|48412023|155832022,1002004834,AVENIDA ABREU,X RUA INÊS,SP,3510708,10M0G7W|5M00G7W,LTE|WCDMA,788|1862.5|1867.5|1855|2150|2160|874.5,733|1767.5|1772.5|1760|1960|1970|829.5,95|175,Greenfield,sim,056001603518,13.5|16.7|17.2|14.1,25|30,63|64|60|59,0,57,048811903257|083071803257|000081201882,40,-20.031392,-50.040594,2020-12-10|2023-11-22,2015-11-09,2029-12-08|2032-12-22|2038-04-30|2028-11-29,20240503,2,135.0,7.209365
VIVO,50409146447,97432014|48422023|166262022|48412023|155832022,1002004834,AVENIDA ABREU,X RUA INÊS,SP,3510708,10M0G7W|5M00G7W,LTE|WCDMA,788|1862.5|1867.5|1855|2150|2160|874.5,733|1767.5|1772.5|1760|1960|1970|829.5,345,Greenfield,sim,056001603518,13.5|16.7|17.2|14.1,25|30,63|64|60|59,1,57,048811903257|083071803257|000081201882,40,-20.031392,-50.040594,2020-12-10|2023-11-22,2015-11-09,2029-12-08|2032-12-22|2038-04-30|2028-11-29,20240503,4,345.0,7.209365
VIVO,50409146447,155832022|48412023,396831508,AVENIDA MARINHEIRO,"&amp; AVENIDA ROMEU VIANA ROMANELLI, 1052",SP,3510708,200KG7W|5M00G7W,GSM|WCDMA,890.75|874.5|2160,845.75|829.5|1970,20,Greenfield,não|sim,005200301293|012720905344,18.3|15.5,25,65|68,4|0,60|63,000910502519|000081201882|008041101882,14.5|40,-20.082522,-49.913825,2023-12-11,1999-12-10,2028-11-29|2038-04-30,20240503,1,20.0,7.209365
VIVO,50409146447,97432014|59072012|48422023|155832022|48412023,396831508,AVENIDA MARINHEIRO,"&amp; AVENIDA ROMEU VIANA ROMANELLI, 1052",SP,3510708,10M0G7W|20M0G7W|5M00G7W|200KG7W,LTE|GSM|WCDMA,788|2680|1862.5|1867.5|874.5|890.75|2160,733|2560|1767.5|1772.5|829.5|845.75|1970,100|110|160,Greenfield,não|sim,004521703257|005200301293|012720905344,14.2|18.1|17.8|16.7|18.3|15.5,24|27|25|34,63|60|66|65|68,0|8|4,28|60|63,048811903257|058221803257|083071803257|000910502519|000081201882|008041101882,40|35|14.5,-20.082522,-49.913825,2023-12-11,1999-12-10,2029-12-08|2027-10-18|2032-12-22|2028-11-29|2038-04-30,20240503,2,110.0,7.209365
VIVO,50409146447,97432014|59072012|48422023|155832022,396831508,AVENIDA MARINHEIRO,"&amp; AVENIDA ROMEU VIANA ROMANELLI, 1052",SP,3510708,10M0G7W|20M0G7W|5M00G7W|200KG7W,LTE|GSM,788|2680|1862.5|1867.5|890.75|874.5,733|2560|1767.5|1772.5|845.75|829.5,200|230,Greenfield,não|sim,004521703257|005200301293,14.2|18.1|17.8|16.7,24|27|25|34,63|60|66|65,0|2|7,28|60|63,048811903257|058221803257|083071803257|000910502519,40|35,-20.082522,-49.913825,2023-12-11,1999-12-10,2029-12-08|2027-10-18|2032-12-22|2028-11-29,20240503,3,200.0,7.209365
VIVO,50409146447,155832022|97432014|59072012|48422023|48412023,396831508,AVENIDA MARINHEIRO,"&amp; AVENIDA ROMEU VIANA ROMANELLI, 1052",SP,3510708,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,890.75|874.5|788|2680|1862.5|1867.5|2160,845.75|829.5|733|2560|1767.5|1772.5|1970,280|350,Greenfield,não|sim,005200301293|004521703257|012720905344,18.3|14.2|18.1|17.8|15.5|16.7,25|24|27|34,65|63|60|66|68,4|0|1|2,60|28|63,000910502519|048811903257|058221803257|083071803257|000081201882|008041101882,14.5|40|35,-20.082522,-49.913825,2023-12-11,1999-12-10,2028-11-29|2029-12-08|2027-10-18|2032-12-22|2038-04-30,20240503,4,280.0,7.209365
