NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|97692014,687460140,ROD VICINAL BOM SUCESSO DE ITARARE,(ACESSO A FAZENDA CAL SINHÁ),SP,3507159,200KG7W|10M0G7W,GSM|LTE,1875|798,1780|743,0,,,063361803518,17.2|13.3,25,64,0,64,006091702519|057731705894,79.43|80,-24.3144,-49.1453,2022-04-28,2006-05-03|2022-04-28,2028-03-31|2029-12-08,20240503,1,0.0,inf
CLARO,50409105090,46622011|97692014,687460140,ROD VICINAL BOM SUCESSO DE ITARARE,(ACESSO A FAZENDA CAL SINHÁ),SP,3507159,200KG7W|10M0G7W,GSM|LTE,1875|798,1780|743,140,,,063361803518,17.2|13.3,25,64,0,64,006091702519|057731705894,79.43|80,-24.3144,-49.1453,2022-04-28,2006-05-03|2022-04-28,2028-03-31|2029-12-08,20240503,2,140.0,inf
CLARO,50409105090,46622011|97692014,687460140,ROD VICINAL BOM SUCESSO DE ITARARE,(ACESSO A FAZENDA CAL SINHÁ),SP,3507159,200KG7W|10M0G7W,GSM|LTE,1875|798,1780|743,240,,,063361803518,17.2|13.3,25,64,0,64,006091702519|057731705894,79.43|80,-24.3144,-49.1453,2022-04-28,2006-05-03|2022-04-28,2028-03-31|2029-12-08,20240503,3,240.0,inf
