NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|97432014|33992016|48412023|41662008,687528674,RUA VEREADOR GUILHERME TOMAROZZI,,SP,3537701,5M00G7W|10M0G7W,LTE|WCDMA,1862.5|1867.5|788|2140|2160|874.5,1767.5|1772.5|733|1950|1970|829.5,20,Greenfield,sim,005152003257|002000703518,14.54|12.78|16.07|17.5|14.7,25,70.39|78.06|60.17|75.66,5|4,23|25,083071803257|048811903257|008041101882|000081201882,80|59.98|40,-21.5936388,-50.5983055,2023-07-26,2005-10-05,2023-08-05,1,20.0,inf
VIVO,50409146447,33992016|48412023|41662008|48422023|97432014,687528674,RUA VEREADOR GUILHERME TOMAROZZI,,SP,3537701,5M00G7W|10M0G7W,WCDMA|LTE,2140|2160|874.5|1862.5|1867.5|788,1950|1970|829.5|1767.5|1772.5|733,120|140,Greenfield,sim,002000703518|005152003257,16.07|17.5|14.7|14.54|12.78,25,60.17|75.66|70.39|78.06,4|5|9,25|23,008041101882|000081201882|083071803257|048811903257,40|80|59.98,-21.5936388,-50.5983055,2023-07-26,2005-10-05,2023-08-05,2,130.0,inf
VIVO,50409146447,48422023|97432014|33992016|48412023|41662008,687528674,RUA VEREADOR GUILHERME TOMAROZZI,,SP,3537701,5M00G7W|10M0G7W,LTE|WCDMA,1862.5|1867.5|788|2140|2160|874.5,1767.5|1772.5|733|1950|1970|829.5,240|250,Greenfield,sim,005152003257|002000703518,14.54|12.78|16.07|17.5|14.7,25,70.39|78.06|60.17|75.66,2|4|6,23|25,083071803257|048811903257|008041101882|000081201882,80|59.98|40,-21.5936388,-50.5983055,2023-07-26,2005-10-05,2023-08-05,3,245.0,inf
