NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
CLARO,50409105090,46622011|29332016|59592012,687238340,"RUA QUINTINO BOCAIUVA, 750, CENTRO",,SP,3532504,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,955|1880|2630|2650|890|894,952.5|1870|2620|2630|880|891.5,0,Greenfield,não,009371303519|008541105344|012720905344,14.89|17.08|16.85|13.52,30.0|33.74|20.0,65.28|72.66|67.81|68.0,2.0,60.0|56.0,037621705894|006091702519|045621602519|039721705894|010641001882,19.95|79.43|40.0|80.0|63.5,-20.84583,-49.63389,2013-11-18,2005-07-12,2028-03-31|2027-10-18,20240503,1,0.0,inf
CLARO,50409105090,46622011|29332016|59592012,687238340,"RUA QUINTINO BOCAIUVA, 750, CENTRO",,SP,3532504,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2630|2650|890|894,1870|2620|2630|880|891.5,100,Greenfield,não,008541105344|012720905344,16.97|16.85|13.52,34.65|33.74|20.0,71.05|67.81|68.0,2.0,60.0|56.0,006091702519|045621602519|010641001882|039721705894,79.43|40.0|63.5|80.0,-20.84583,-49.63389,2013-11-18,2005-07-12,2028-03-31|2027-10-18,20240503,2,100.0,inf
CLARO,50409105090,46622011|29332016|59592012,687238340,"RUA QUINTINO BOCAIUVA, 750, CENTRO",,SP,3532504,200KG7W|10M0G7W|20M0G7W|5M00G7W,GSM|LTE|WCDMA,1880|2630|2650|890|894,1870|2620|2630|880|891.5,180,Greenfield,não,008541105344|012720905344,16.97|16.85|13.52,34.65|33.74|20.0,71.05|67.81|68.0,2.0,60.0|56.0,006091702519|045621602519|039721705894|010641001882,79.43|40.0|80.0|63.5,-20.84583,-49.63389,2013-11-18,2005-07-12,2028-03-31|2027-10-18,20240503,3,180.0,inf
