NomeEntidade,NumFistel,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,FreqTxMHz,FreqRxMHz,Azimute,ClassInfraFisica,CompartilhamentoInfraFisica,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,DataLicenciamento,DataPrimeiroLicenciamento,DataValidade,UpdateDate,physicalSector,Azimute_(Median),distance
VIVO,50409146447,48422023|41662008|59072012|48412023,641263210,Rua Arlindo Gomes de Carvalho,X Rua Joaquim Nunes ,SP,3535101,200KG7W|5M00G7W|20M0G7W,GSM|LTE|WCDMA,1862.5|890.75|1867.5|874.5|2680|2160,1767.5|845.75|1772.5|829.5|2560|1970,360,Greenfield,não|sim,005200301293|056001603518,18.3|17|17.5|16.15|17.4|14.7,25,65|67|62|68,5|6|4,69|60,005311101882|000910502519|083071803257|058221803257|000081201882|008041101882|016571601882|044961602519,66.8|32.5|40,-21.082222,-48.81,2023-09-20,2002-09-24,2032-12-22|2024-01-20|2027-10-18|2038-04-30,20240103,0,360.0,inf
VIVO,50409146447,48422023|59072012|97432014,641263210,Rua Arlindo Gomes de Carvalho,X Rua Joaquim Nunes ,SP,3535101,5M00G7W|20M0G7W|10M0G7W,LTE,1862.5|1867.5|2680|788,1767.5|1772.5|2560|733,85,Greenfield,não|sim,056001603518,17|17.5|14.2,25,67|62|70,4,60,083071803257|058221803257|048811903257,40,-21.082222,-48.81,2023-09-20,2002-09-24,2032-12-22|2027-10-18|2029-12-08,20240103,1,85.0,inf
VIVO,50409146447,48422023|41662008|59072012|97432014|48412023,641263210,Rua Arlindo Gomes de Carvalho,X Rua Joaquim Nunes ,SP,3535101,200KG7W|20M0G7W|10M0G7W|5M00G7W,GSM|LTE|WCDMA,1862.5|1867.5|874.5|890.75|2680|788|2160,1767.5|1772.5|829.5|845.75|2560|733|1970,90|170,Greenfield,não|sim,005200301293|056001603518,18.3|17.5|14.2|16.15|17.4|14.7|17,25,65|62|70|68|67,4|5|3|2|6,69|60,005311101882|000910502519|058221803257|048811903257|008041101882|000081201882|016571601882|044961602519|083071803257,66.8|32.5|40,-21.082222,-48.81,2023-09-20,2002-09-24,2032-12-22|2024-01-20|2027-10-18|2029-12-08|2038-04-30,20240103,2,90.0,inf
VIVO,50409146447,48422023|59072012|97432014,641263210,Rua Arlindo Gomes de Carvalho,X Rua Joaquim Nunes ,SP,3535101,5M00G7W|20M0G7W|10M0G7W,LTE,1867.5|1862.5|2680|788,1772.5|1767.5|2560|733,180,Greenfield,não|sim,056001603518,17|17.5|14.2,25,67|62|70,3|2,60,083071803257|058221803257|048811903257,40,-21.082222,-48.81,2023-09-20,2002-09-24,2032-12-22|2027-10-18|2029-12-08,20240103,3,180.0,inf
VIVO,50409146447,48422023|59072012|97432014,641263210,Rua Arlindo Gomes de Carvalho,X Rua Joaquim Nunes ,SP,3535101,5M00G7W|20M0G7W|10M0G7W,LTE,1862.5|1867.5|2680|788,1767.5|1772.5|2560|733,330,Greenfield,não|sim,056001603518,17|17.5|14.2,25,67|62|70,4|3,60,083071803257|058221803257|048811903257,40,-21.082222,-48.81,2023-09-20,2002-09-24,2032-12-22|2027-10-18|2029-12-08,20240103,4,330.0,inf
